Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,security sangat membantu..mengarahkan dengam tepat dan enggak pakai antri transaksi dicabang ini,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,transaksi di cabang ini cepat enggak antri..security ramah danengarahkan dengan tepat,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,transaksi aman dan tidak pakai antri lama.pelayanan baik dan security nya ramah dan sangat membantu sekali,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanan sangat baik dan cepat tanpa antrian,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,"saat pertama kali datang ingin pengajuan kur, langsung di sambut ramah oleh security (kalo enggak salah namanya pak fadli dan pak imam) diarahakan untuk ke lantai 2 bertemu team mikro, saya dibantu dan dijelaskan oleh mas yusup (sales) dan mas",2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,trmkasih semoga selalu lancar dan sukses trus..,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,alhmdulillah trimkasih bantuannya,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanan nya bagus.. cepett ramah,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,mantap pelayanannya bagus dan cepat.,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,mantap,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,bagus dan ramah,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanan nya memuaskan is the best,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanannya sangat memuaskan,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,layanan cabang baik ramah dan sopan,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,"pelayanan bagus, pegawai ramah2 semua",2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,terbaik,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,"pelayanan ramah, membantu saya membuat rekening dengan cepat",2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,rama ramah stafnya,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,layanannya lmyan ramah,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,sangat membantu sekali,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanan nya ramah dan sopan,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,"kaka""nya seru, pelayanannya bagus dan ramah",2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelananannya bagus,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanan yang baik dan ramah,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanannya bagus ka,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanannya bagus bgtt,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pegawai ramah dan gedung bersih,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,telernya ramah,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,telernya ramah.. security nya sangat sopan dan di arahin dengan baik.tetap ramah dan sopan..,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,"antrian teller tidak ramai, jadi bisa cepat transaksi di kcp bank mandiri pondok pinang",2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Pinang Center,5,pelayanan nya baik dan ramah. sangat memuaskan,2
