Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,staf dan keamanan super ramah,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,pelayanan mantap,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,servise super keunggulan,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,luar biasa,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,"terimakasih sudah membantu kami dalam bentuk modal usaha, yang mudah dan murah.",2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,teh best lah,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,"sapam nya lucu, baik, ganteng",2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,"staf ramah nya ramah"" pelayan cepat ok",2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,"teller,cs,securty yang namanya pak rendi ramah exelent",2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,peleyanan nya bagus dan ramah kepada nasabah.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,bertransaksi dengan aman dan orangnya.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,ok,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,"cabangnya bagus, pegawai perempuannya ramah namanya ibu wilda",2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,"kerja bagus,pertahan kinerja baiknya .",2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,untuk semua staff dan bp security nya sangat ramah.. membantu semua hal-hal yang diperlukan nasabah serta sangat informatif. dan saya sebagai nasabah juga merasa sangat terbantu dan merasa nyaman dengan kehadiran semua staff yang ada disini..good job & all the best buat semua staff yang ada di kcp mandiri pos pengumben raya.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,cs baik cantik pelayanan nya cepat,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,mantap banget,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,"bersih, nyaman dan staff nya ramah2 dan pelayanan cepat",2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,pelayananya sangat ramah,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,cs dan teller nya baik-baik,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,bagus pelayanannya stafnya ramah dan memberikan jawaban yang memang kita mau sukses terus bank mandiri,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,"pelayanan cepat, lokasi strategis dan securitynya ramah",2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,pelayanan yang baik seperti biasa.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,"service oke,",2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pos Pengumben Raya,5,baik memuaskan,2
