Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pramuka,5,"pelayanannya bagus memuaskan sekali tellernya ramah, customer servicenya juga securty bagus dan cabang ya bersih",2
Bank Mandiri KCP Jakarta Pramuka,5,pelayanan sangat bagus,2
Bank Mandiri KCP Jakarta Pramuka,5,benar-benar puas dengan layanan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat membantu,2
Bank Mandiri KCP Jakarta Pramuka,5,"layanan mandiri pramuka ini jadi berkesan karena disambut mbak desti, kepala kcp. dari awal masuk membuka pintu sudah disambut dengan senyum dan dilayani sampai tuntas. semoga layanan mandiri tetap terjaga baik, meski saya sdr ternasuk sangat jrg ke kantor bank. terima kasih.",2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,"layanan customer servicenya sangat ramah, dan penjelasannya tapi the point serta mudah dimengerti",2
Bank Mandiri KCP Jakarta Pramuka,3,"cukup informatif tapi sedikit ceroboh mudah-mudahan layanan akan menjadi lebih baik, segera.",1
Bank Mandiri KCP Jakarta Pramuka,1,"layanan lama bangetz , 1 nasabah di pegang 2 pegawai cs nasabah lain di suruh menunggu antrian, cs nya enggak pintar jadi di bantu sama cs lain",0
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,bagus sekali,2
Bank Mandiri KCP Jakarta Pramuka,5,top,2
Bank Mandiri KCP Jakarta Pramuka,5,good,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,bagus,2
Bank Mandiri KCP Jakarta Pramuka,5,"pelayanan yang baik dan sangan aman, nyaman dan bahkan pelayanan yang sangat ramah sekali. josh pokoknya mandiri",2
Bank Mandiri KCP Jakarta Pramuka,5,"bagus, pelayanannya bagus, customernya ramah tellernya juga ramah",2
Bank Mandiri KCP Jakarta Pramuka,5,cs nya sangat membantu,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,"pelayanan ramah dan cepat, buka tepat di pukul 08.00 langsung dilayani",2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Pramuka,5,pelayanan nya bagus dan cepat,2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Pramuka,5,"pelayanannya baguss,dan cepat,serta ramah sekali",2
Bank Mandiri KCP Jakarta Pramuka,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pramuka,5,pooknya oke deh,2
Bank Mandiri KCP Jakarta Pramuka,5,"asik ini mandirinya, beda dari yang lain",2
Bank Mandiri KCP Jakarta Pramuka,5,"pelayanannya ramah , sat set pasti balik lagi kesana ada apa apa",2
Bank Mandiri KCP Jakarta Pramuka,5,tempat yang baik layanan yang baik,2
