Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanannya sangat ramah dan memuaskanterima kasih mandiri caabng pulojahe,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,buka tabungan disini pelayanannya ramah dan baik2.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanannya sangat luar biasa bagus,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,"pokoknya kalo mau kur atau kum ke bank mandiri pulo jahe aja, pelayanan nya bagus dan cepat",2
Bank Mandiri KCP Jakarta Pulo Jahe,5,keren banget untuk pelayanan kur nya,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,"pelayanan marketing kur nya bagus, enggak ribet santu dan sopan juga",2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanan kur nya sat set dan enggak ribet,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanan baik dan lokasi mudah di jangkau,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanan baik dan cabang bersih,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,"baik, pelayanannya ramah",2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanannya baik dan pegawainya ramah,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,lokasi mudah di jangkau dan pelayanan baik,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,ramah2 orang bank nya apalagi sg nya hehw,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanan nya bagus semua dilayanin dengan cepat,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayananannya cepat,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanan ramah dan cabang bersih,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanan nasabahnya cepat enggak perlu mengantri lama. pegawainya juga sangat membantu dan ramah,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,service nya good,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanannya cepat dan ramah,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,"cuman mau saran saja atm nya dibuka 24 jam ya yang pengguna mandiri di area sekitar, jam 17.00 harus ke rawabadung/kawasan jadi lumayan jauh, kalo disini buka 24 jam sangat membantu",2
Bank Mandiri KCP Jakarta Pulo Jahe,5,petagaya ramah-rama,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,"pelayanannya sangat bagus, ramah dan cepat.",2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,"pelayanan cepat, pegawai ramah dan cabang bersih",2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,1,pinjaman kur kenapa susah ya. padahal kur itu tanpa jaminan dari pemerintah. kenapa di persulit. agunan harus lebih besar dari pinjaman. bpkb motor enggak bisa. kur bukan nya kredit usaha rakyat yang mau ngembangin modal.,0
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat nyaman untuk pelayanannya,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,tempatnya nyaman & petugasnya baik baik,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayaran yang ramah dan menyenangkan,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,"pelayanan baik gercep, ramah dan satset",2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,"karyawan nya sangat ramah, satpam nya juga sangat baik",2
Bank Mandiri KCP Jakarta Pulo Jahe,5,pelayanan ramahh,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,terimakasih bank mandiri pulo jahe,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,bureknya ok,2
Bank Mandiri KCP Jakarta Pulo Jahe,5,sangat puas dengan pelayanan yang diberikan.,2
