Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,1,"tolong tingkatkan lagi pelayanan csnya ya, kalau sudah ada nomor antrian harap di perhatikan pelayanan sesuai dengan nomor antrian",0
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,"pelayanan staffnya ramah dan cepat, tempatnya nyaman dan bersih",2
Bank Mandiri KCP Jakarta Pulomas,1,"peminjaman proses lama,uang sudah cair di tahan tidak bisa digunakan,kenapa seperti ini mandiri sampai sekarang uang ditahan,angsuran sudah dipotong bulan pertama,tapi uang masih ditahan,saya kecewa dengan mandiri",0
Bank Mandiri KCP Jakarta Pulomas,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Pulomas,5,"pelayanan gercep, lokasi strategis",2
Bank Mandiri KCP Jakarta Pulomas,5,pelayanannya gercep dan solutif,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,pelayanannya over the top,2
Bank Mandiri KCP Jakarta Pulomas,5,penyayannya sat set indak lelet ok banget deh,2
Bank Mandiri KCP Jakarta Pulomas,5,pegawainya baik dan rendah hati,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,"semoga pelayanan dalam ertransaksi lebih bagous lagi,",2
Bank Mandiri KCP Jakarta Pulomas,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,"pelayanannya bagus,karyawannya ramah dan mudah senyum.tetap dipertahankan",2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,"mantabz pelayanan nya, recommended pokoknya dech..",2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,pelayanan ramah dan humanis,2
Bank Mandiri KCP Jakarta Pulomas,5,nyata,2
Bank Mandiri KCP Jakarta Pulomas,5,sukses ya,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Pulomas,5,staf ramah,2
Bank Mandiri KCP Jakarta Pulomas,5,ramah pelayanannya,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,"cepat respon, tempat yang baik",2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,pelayanan sangat memuaskan..terimakasih,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,pelayanan bagus ramah,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,pelayanan cepat dan ramah.,2
Bank Mandiri KCP Jakarta Pulomas,5,"pelayanan oke untuk nasabah pengajuan kpr, multiguna dan kita fast respon , service yang baik dan proses cepat",2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,pelayanan terbak,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,"oke, minum",2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,yuk kita ke bank mandiri pulomas,2
Bank Mandiri KCP Jakarta Pulomas,5,saya terbantu dalam masalah keuangan,2
Bank Mandiri KCP Jakarta Pulomas,5,saya terbantu dengan pelayanan nya,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pulomas,5,sangat puas dengan pelayanan yang diberikan.,2
