Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,"pelayanannya ramah dan profesional, terimakasih bank mandiri puncak emas",2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,keren,2
Bank Mandiri KCP Jakarta Puncak Emas,5,semua karyawannya ramah dan sangat melayani,2
Bank Mandiri KCP Jakarta Puncak Emas,1,"teller tua, satu pelanggan hanya bercanda, mengobrol, dan berbincang satu sama lain selama lebih dari 15 menit",0
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,pelayanan sangat ramah dan informatif. great!,2
Bank Mandiri KCP Jakarta Puncak Emas,5,pelayanan nya ramah banget,2
Bank Mandiri KCP Jakarta Puncak Emas,5,pelayanannta super baik,2
Bank Mandiri KCP Jakarta Puncak Emas,5,"pelayanan sangat ramah dan informatif, akses lokasi mudah. great!",2
Bank Mandiri KCP Jakarta Puncak Emas,5,"pelayanannya memuaskan, csnya handal",2
Bank Mandiri KCP Jakarta Puncak Emas,1,"lama banget antrian tellernya, sudah menunggu berdiri 15 menit terus dikasih nomer antrian, tapi tetap lama juga pelayanannya, ada yang baru datang sudah duluan ke teller, masa yang pelayanan di teller cuma 2 orang. ada customer 1 orang lama banget terus ke stop, kan jadi enggak efektif",0
Bank Mandiri KCP Jakarta Puncak Emas,5,"pelayanan bank mandiri cab puncak emas, jakarta sangat memuaskan, responnya sangat cepat dan baik",2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat membantu dan sangat memuaskan .,2
Bank Mandiri KCP Jakarta Puncak Emas,5,pelayanan prima,2
Bank Mandiri KCP Jakarta Puncak Emas,5,pelayanannya sangat memuaskan,2
Bank Mandiri KCP Jakarta Puncak Emas,5,pelayanannya sangat memuaskan,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,pelayanan sangat baik dan nyaman,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,pelayanan bagus dan cepat..sehingga para nasabah tidak perlu menunggu lama-lama untuk antrian,2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,"pelayanannya memuaskan, sangat direkomendasikan",2
Bank Mandiri KCP Jakarta Puncak Emas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puncak Emas,5,"cs, teller, security yang sangat ramah dan membantu",2
Bank Mandiri KCP Jakarta Puncak Emas,5,tempat nyaman dan strategis di wilayah pekantoran,2
Bank Mandiri KCP Jakarta Puncak Emas,5,"pelayanan sangat ramah, terimakasih bank mandiri cabang puncak emas",2
Bank Mandiri KCP Jakarta Puncak Emas,5,"pelayanan sangat ramah, tempatnya nyaman dan bersih terimakasih bank mandiri cabang jakarta puncak emas",2
Bank Mandiri KCP Jakarta Puncak Emas,5,good service,2
