Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Puri Indah,5,di sini melayani penukaran uang baru tidak ?,2
Bank Mandiri KCP Jakarta Puri Indah,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,"pelayanan nya bagus , ramah"" juga sip",2
Bank Mandiri KCP Jakarta Puri Indah,5,"sangat membantu dan sopan dari pintu depan sebelum masuk, pekerjaan yang sangat baik untuk semua staf.",2
Bank Mandiri KCP Jakarta Puri Indah,5,ramah dan baik hati,2
Bank Mandiri KCP Jakarta Puri Indah,5,"pelayanan cepat, tellernya ramah dan cekatan. servisnya excellent. mantap",2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,pelayannya baik dan taler nya ramah.,2
Bank Mandiri KCP Jakarta Puri Indah,5,"pelayanan cepat, cs nya ramah, security cepat tanggap, keren buat mandiri",2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,"pelayanan oke teller nya baik , enggak ribet pula",2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,pelayanannya sangat ramah,2
Bank Mandiri KCP Jakarta Puri Indah,5,bersih pelayanan ramah,2
Bank Mandiri KCP Jakarta Puri Indah,5,"pelayanannya baik bu, mudah di akses",2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,"pelayanan cs dan teller sangat baguss, ramah dan sangat membantu",2
Bank Mandiri KCP Jakarta Puri Indah,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,"pelayanannya sangat bagus dan memuaskan, cs nya ramah dan baik",2
Bank Mandiri KCP Jakarta Puri Indah,5,salah satu cabang mandiri yang paling oke dari segi pelayanannya,2
Bank Mandiri KCP Jakarta Puri Indah,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,mantab pokok nye,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,bagus,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,"good, baik, bersih, rapi pelayanan nya ramah, seluruh pegawai care, ramah dan solutif",2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,pelayanan nya baik dan nyaman,2
Bank Mandiri KCP Jakarta Puri Indah,5,staf bank nya ramah dan membantu nasabah,2
Bank Mandiri KCP Jakarta Puri Indah,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Puri Indah,5,pelayanannya bagus dan staff nya ramah ramah,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,"pelayanan nya bagus bangat, kalau kita ada pertanyaan langsung gercep menanggapi dengan cepat.. terimakasih ya",2
Bank Mandiri KCP Jakarta Puri Indah,5,baik dan ramah,2
Bank Mandiri KCP Jakarta Puri Indah,5,bagus pelayanan ya bagus dan ramah lokasi strategis..,2
Bank Mandiri KCP Jakarta Puri Indah,5,"pelayanan ramah dan cepat ganti kartu enggak sampai 10 menit, banyak produk yang ditawarkan sangat membantu terimakasih bank mandiri canang puri indah",2
Bank Mandiri KCP Jakarta Puri Indah,5,terima kasih atas pelayanan yang sangat bagus,2
Bank Mandiri KCP Jakarta Puri Indah,5,senang banget dengan pelayanan mandiri cepat simple dan mudah terimakasih mbak desi yang selalu memberikan informasi,2
Bank Mandiri KCP Jakarta Puri Indah,5,"tempatnya bersih, pelayanannya bagus orangnya ramah ramah",2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,"cs, teller, satpam dan pegawai lain sangat ramah",2
Bank Mandiri KCP Jakarta Puri Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Indah,5,"nyamanya menjadi member mandiripelayanan nya baik, ramah, cepat dan full senyum.. trimakasih staff mandiri",2
Bank Mandiri KCP Jakarta Puri Indah,5,"pelayanan sangat baik , dan ramah",2
Bank Mandiri KCP Jakarta Puri Indah,5,"pelayanan yang diberikan sangat baik, semua staf juga tetap ramah ketika menerima komplain, dan tidak perlu menunggu waktu lama antriannya. the best",2
Bank Mandiri KCP Jakarta Puri Indah,5,"mandiri pasar puri indah tempatnya nyaman, pelayanannya bagus dan customer service dan karyawannya semuanya baik dan ramah. suka lakukan transaksi disini",2
