Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Puri Kencana,5,pelayanan cepat dan mudah,2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,"terima kasih kepada kak pratiwi customer service bank mandiri cabang puri kembangan ,pelayanan cepat,ramah,sangat membantu is the best,bapak security ramah ,respon,sigap (pertahankan)",2
Bank Mandiri KCP Jakarta Puri Kencana,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,pelayananya ramah & oke banget,2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,"kak pratiwi kcp puri kencana terimakasih sudah memberikan service terbaiknya , dan untuk staff2 bapak security juga terimakasih, semoga konsisten untuk service terbaiknya .",2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,"cs nya ibu pratiwi nur handayani , sangat ramah dan sangat membantu sekali",2
Bank Mandiri KCP Jakarta Puri Kencana,5,pelayanan nya disini sangat bagus,2
Bank Mandiri KCP Jakarta Puri Kencana,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Puri Kencana,5,"pelayanannya bagus, teller-nya ramah top deh",2
Bank Mandiri KCP Jakarta Puri Kencana,5,"bagus, bersih, pelayanannya baik dan cepat",2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,muantap. tingkatkan terus pelayanannya,2
Bank Mandiri KCP Jakarta Puri Kencana,5,tellernya pelayanannya ok banget,2
Bank Mandiri KCP Jakarta Puri Kencana,5,pelayanan yang bagus & sangat ramah tamah terhadap nasabah,2
Bank Mandiri KCP Jakarta Puri Kencana,5,pelayanan nya baik teler nya juga ramah ramah pokok nya the best lah top banget pokok nya top banget teler nya imelda,2
Bank Mandiri KCP Jakarta Puri Kencana,5,"pelayanannya sangat baik, mulai dari teller, cs, satpam, dll orangnya ramahsekali.",2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,"pelayanan yang ramah,teliti dan cekatan. pertahankan ya tim bank mandiri cabang puri kencana .",2
Bank Mandiri KCP Jakarta Puri Kencana,5,pelayanannya bagus dan tempatnya nyaman,2
Bank Mandiri KCP Jakarta Puri Kencana,5,pelayanan ramah dan sangat membantu,2
Bank Mandiri KCP Jakarta Puri Kencana,5,baik sekali dalam pelayanan .,2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,"nyaman, peleyanan nya bagus, rama, cepat.",2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,"pelayanan bagus, cs nya ramah dan membantu kemudian juga bersih",2
Bank Mandiri KCP Jakarta Puri Kencana,5,"urus penggantian atm mudah dan ramah, di provide dengan miss novi..keep up the good work mandiri",2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,pelayanan yang sangat baik dari cs ibu novi,2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,"cabangnya bersih, nyaman, pelayanan cs dan tellernya cepat dan edukatif. satpamnya juga friendly.",2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Puri Kencana,5,bagus dan profesional. sri rahayu ningsih,2
Bank Mandiri KCP Jakarta Puri Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Kencana,5,staf selalu sangat hangat dan ramah dan selalu sangat bersemangat untuk membantu. 5 bintang ke manajer bank!,2
