Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Puri Sentra Niaga,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Sentra Niaga,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Puri Sentra Niaga,4,"pelayanan cukup baik, pegawai nya ramah & sopan",2
Bank Mandiri KCP Jakarta Puri Sentra Niaga,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Sentra Niaga,5,pelayanan payroll baik,2
Bank Mandiri KCP Jakarta Puri Sentra Niaga,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Sentra Niaga,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Puri Sentra Niaga,2,"teler nya pilih2 costomer,,yg kenal di panggil duluan,",0
Bank Mandiri KCP Jakarta Puri Sentra Niaga,5,kcp langanan,2
Bank Mandiri KCP Jakarta Puri Sentra Niaga,1,antri layanan lama sekali. hampir 1 jam. teller melayani 1 orang bisa 1 jam apakah tidak ada solusi supaya cepat sat set,0
Bank Mandiri KCP Jakarta Puri Sentra Niaga,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Puri Sentra Niaga,5,semua bagus..,2
Bank Mandiri KCP Jakarta Puri Sentra Niaga,5,"transaksi saya seciap hari dibantu teller dengan senang hati, teller selalu senyum seticiap melayani nasabah yang datang",2
Bank Mandiri KCP Jakarta Puri Sentra Niaga,1,pelayanan nya lama,0
Bank Mandiri KCP Jakarta Puri Sentra Niaga,5,yang terbaik deh kalo pelayan cs di sni,2
