Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,layanan yang sangat baik.. salam hangat.. terima kasih,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"teller pelayanan sangat ramah, suara halus lembut, terimakasih ya kakak adam",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"pelayanannya bagus. saya di bantu oleh ibu yulianti, walaupun jam pelayanannya sudah selesai tapi saya di bantu sampai semua proses selesai. good",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"pelayanan ramah,proses pembuatan kartu cepat, the best pokoknya",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"stafnya disini ramah"", dan prosesnya juga cepat bnget, aku ganti kartu atm baru,karna kartu atm lama sudah rusak, pokoknya thebest deh",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"cepat pelayanan staffnya, ganti kartu",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,pelayanannya bagus.,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,ramah baik,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,sangat membantu disetiap transaksi.,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,pelayanan para pegawai ramah dan cepat. tempatnya bersih dan wangi.,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,good luck,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,luar biasa pelayanannya semoga mandiri tambah maju dantambah vitur2 yang sangat dibutuhkan,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"pelayanan bagus. security menyambut ramah, ganti kartu di cs dibantu mas felix cepat bgt. top lah cabang pgc",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,pegawai nya ramah dan pelayanannya cepat,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"mau tanya, apakah hari selasa tanggal 28 februari 2025 ini buka ? mohon info nya terimakasih",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,pelayanan baik dan oke!,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,pelayanan mandiri pusat grosir cililitan cabang pgc mantap mas security nya juga sangat membantu recomended sekali.,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"pelayanan oke, cepat dan ramah",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"layanan sangat baik & memuaskan. dilayani oleh mrs yulianti yang sangat tangkas, memahami semua produk & menyelesaikan keluhan dengan baik.",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"bank mandiri pgc , selalu membantu saya , dan mempermudah segala urusan perbankan saya",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,1,mereka memekan 300 juta uang dp kpr nasabah jangan pernah kpr di mandiri.,0
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"pelayanan baik,cukup puas",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"mantap banget pelayanannya,selalu kasih solusi terbaik untuk nasabah.",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"terima kasih mas felix reinhart,pelayananya ramah,dn memberi info yang sangat jls..dipertahankan selalu mas felix.",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,semua karyawan bank mandiri di cabang ini dapat membantu nasabah dengan baik. pelayanan cepat. terimakasih pak.bu.,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,pelayanan nya cepat dan ramah terima kasih,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,layanan bang felix keren solutif mantaplah buat mandiri cabang pgc,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,cepat sekali sat set sat set,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,pelayanannya ramah dan memuaskan,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"terimakasih mas felix atas pelayanannya, sangat informatif dan ramah.",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"pelayanan cepat, petugas ramah informasi yang didapat sangat jelas",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"pelayanan di bank mandiri sangat memuaskan, ramah, sopan dan baik. sukses ya",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"kesini cuma beli emoney karena susah mendapatkan di minimarket. security best, tellernya ramah cekatan. pelayanan bagus pokoknya. antrinya banyak tapi enggak lama juga.",2
Bank Mandiri KCP Jakarta Pusat Grosir Cililitan,5,"pelayanan oke, security nya pinter2",2
