Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,bagus dan cepat pelayanannya,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"pelayanan baik, ramah",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,terimakasih pelayanan memuaskan,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"pelayanannya sangat memuaskan, pegawai banknya dan security sangat ramah dan murah senyum",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,pelayanan mudah dan cepat,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"pelayanan cepat, satpam sangat membantu sekali, satpam dan oegawai ramah.",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"cepat, bantu aku.",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,pelayanannya sangat ramah dan baik,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,proses pembukaan rekening payroll cepat banget pengurusannya,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,cakep banget,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,banget kue ker,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,pelayanan cepat mantap!!,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"pelayanan nya baik, cepat dan ramah",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"pelayanan mantap, ramah dan profesional",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,bagus,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,pelayanan cepat dan praktis,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,terbaik,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"servicenya bagus, fast service, murah senyum dan ramah banget pelayanannya sudah ada mesin csm bisa ganti kartu dari mesin atm, mesin atm setor tunai juga memudahkan enggak ribet antri teller lagi,",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,dilayani sama mbak putri cs yang profesional sekali pelayanya,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"pelayanan cepat dan ibu putri cs nya cantik, pintar dan humble",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,ibu putri handayani terbaik sih,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,csnya bu putri tuh baik banget..trus cepat kalau ngelayanin nasabah..,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,1,pelayanan tidak memuaskan,0
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"tempat nyaman, petsusnya rama mantap deh .",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,terima kasih pelayanan bank mandiri rscm. sangat mantul,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"pelayanan bagus, petugas ramah",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,cepat pelayan adalah yang terbaik,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"kinerja pegawainya semua sangat baik, pelayanan ok & teller-tellernya juga cekatan dan penampilan ok dan last salam untuk teller nya",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"pelayanan cepat, tellernya pada cantik2, semoga ada yang nyangkut bismillah.",2
Bank Mandiri KCP Jakarta R.S.C.M.,5,cepaatt enggak pakai lama cs nya cantik banget,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,nice,2
Bank Mandiri KCP Jakarta R.S.C.M.,5,"satpam dan lain nya ramah2,terus di pertahankan kinerja nya",2
