Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,teller nya ramah banget suka,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"pelayanan nya bagus, teamnya ramah2, ruangnya nyaman dan bersih",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,terima kasih untuk pelayanan yang secepat kilat dan sangat ramah,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,layanan bagus,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,terima kasih kak lia. next ikut tabungan rencana lagi,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,2,"agak kecewa sih, heran begitu seorang sales bisa cek saldo rekening nasabah.. luar biasa ya hehe memang sehina itu ya orang mnjem bank.. sampai saldo rekening pribadi dicek, dsruh pindahin ke rekening cicilan .. telat juga cuma beberapa hari saja loh, tlong di cek tuh salesnya ya",0
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"staf itu rame dan rajin, saya di infokan tab rencana oleh security , lumayan buat nabung, terima kih pak angga",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat baik dan memuaskan,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"alhamdulillah . pelayanan bagus orang nya ramah"" dan sangat membantu sekali.",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"pelayanan ramah, dan lumayan cepat. sangat membantu untuk para nasabah baru. nyaman juga tempatnya",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,terima kasih mbak lia bantuannya,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"alhamdulillah terbantu dengan staff nya yang berasa akrab,terima kasih",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,pelayanannya sangat bagus.. tempatnya nyaman. terutama petugasnya pada ramah melayani customernya. trimakasih banyak atas pelayanannya,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,pelayan yang baik buat kak lia,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"suasana nya nyaman, staffnya ramah",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"terima kasih bu lia, transaksi nya cepat",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,pelayanan baik sekali,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"pelayanan baik,cepat,ramah",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"terima kasi.ibu lia kusuma,atas pelayanan.yang terbaik sehat""selalu ibu cantik",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"mandiri mantab cepat pelayanan nya, terima kasih mbak lia",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"layanan pembukaan sangat cepat dan mudah, semoga cabang lain bisa mencontoh cabang harapan kita sukses terus bang mandiri.",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,1,taler hanya 1 dan baru .minimal di dampingin lah sama yang lama nasabah jadi numpuk,0
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,semua pegawainya sangat baik dan ramah terutama dengan cs nya ibu taramitha,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"sangatmembantu dalam sediap transaksi, sukses selalu",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"pelayanan cepat, stafnya ramah dan tempatnya bersih",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"mba""nya ramah",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,pelayananya ramah,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"service excellence dari teller, customer service dan security",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sudah andre. lanjutkan,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,good service,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,ternyata mudah untuk cetak rekening koran. lewat livin. tks pak satpam sudah di edukasi lewat livin. jadi enggak usah antri ke cs,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,pelayanannya ramah ramah,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,satpamnya ramah dan tampan,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,layanan nya bagus,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"cs nya mbak mitha baik, ramah bapak satpam juga baik dan ramah",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,security sangat ramah dan sangat membantu nasabah,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,waw pelayanannya sangat bagus sekali sangatt puas,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,"pelayanan oke banget, terimakasih cabang harkit",2
Bank Mandiri KCP Jakarta R.S. Harapan Kita,5,rama pelayanan,2
