Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,baik pelayanannya good.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,excellent,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,pelayanan baik,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,pelayanan baik,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,telernya super dupel sat,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,pelayanan terbaik sepanjang masa,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,bagus banget pelayanannya.pokoknya ok.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,"terimakasih mbak dyah sudah membantu proses kartu kreditnya, enggak ribet dan cepat",2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,1,"meminta konfirmasi ke bank utama saja lama, masa menanyakan alamat email bank utama ke customer untuk konfirmasi, di data base system nya memang tidak ada?",0
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,1,pelayanan sangat tidak baik.,0
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,servicenya baik,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,pelayanannya bagus cs sama tellernya ramah ramah tempatnya nyaman juga,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,tempat yang bagus.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,"pegawainya ramah semua, pelayanan cepat, ruangan bersih dan nyaman. top pokoknya",2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,bagus,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,"parkiran luas, pelayanan bagus n ramah",2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,selalu puas dengan pelayanannya dan keramahan suasananya,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,"cepat pelayanannya, petugasnya ramah2",2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,"pelayanan ramah, informatif dan cepat",2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,"bagus banget sumpah tellernya, cs nya, analisnya cantik cantik, ramah, baik, pelayanannya luar biasa!<3",2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,1,ini carabang paling hacur,0
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,1,di telepon tibak bisa satu pun,0
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,4,cukup adem parkirannya ada pohonnya,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. M.H. Thamrin,1,"ditelpon susah banget 2 nomer alternatifnya, pelayanan buruk dan lama",0
