Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,terbaik,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,enggak pakai lama transaksi di sini langsung sat set urusan kelar,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat menginformasikanif dan membantu untuk nasabah baru,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,pelayanan baik cepat dan welcome sama nasabah,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,"pelayanannya bagus front office customer service , teller dan security .cuman saldo tertahan selalu muncul di tahun ini",2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,"untuk teller nya sopan , baik, cekatan",2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,"teller nya sangat baik, sopan, dan sangat amat harus di jadikan contoh buat cabang lain nya ya",2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sgk nya sangat ramah dan sangat membantu,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,staf sangat membantu dan terima kasih untuk layanan pelanggan yang membantu livin saya.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,pelayanan nya terbaik,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,good,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,4,pelayanan ramah dan gesit,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,tempat yang bagus.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,security nya ramah dan baik hati :),2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,pelayanan cepat dan tepat.. sangat membantu,2
Bank Mandiri KCP Jakarta RS Pusat Otak Nasional,5,sgk nya memuaskan,2
