Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,"pelayanan sangat cepat, baik dan ramah",2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,"pelayanannya sangat baik, ramah, top five",2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,"cabang tidak ramai, cs mbak dea ramah dan cepat pelayanannya tks",2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,"cs nya sangat cepat dan ramah dalam pelayanan, saya di tangani oleh mbak dea, cab ang pun bersih",2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,good job buat semua teller dan csnya fast respon ramah dan nyaman tempatnya,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,pelayanan nya sangat ramah dan cepat tanggapuntuk semua karyawan bank mandiri,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,kakak front liner bernyanyi ramah dan ramah,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,"cabang bersih, cs tanggap dan tidak lama dan jelas, terima kasih",2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,pelayanannya cepat dan baik,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,"pelayanannya bagus dan cepat cabang bersih dingin dan nyaman, cs nya cepat dan ramah begitu juga tellernya",2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,"cabang bersih wangi dan dingin, cs mbak dea dan mas rikky sangat membantu pelayanannya",2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,"pelayanan sangat bagus, sangat cepat dan nyaman.",2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,"pelayanan nya sangat cepat dan ramah, teller dan mbak dia cs juga tidak lama dan sangat ramah, sangat membantu",2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Pusat Pertamina,5,"pelayanannya bagus dan cepat, mbak dea cs dan all telle pelayanannya ramah ,cabang bersih",2
