Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"pelayanan bagus, cepat, ramah, tempat nyaman",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,cabang yang bagus,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"pelayanannya oke bgt, cabang bersih dan dingin, orangnya ramah"" dan baik. top deh",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"pelayanan cepat, staf ramah, dan tempat yang bersih",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,cabangnya bersih,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,luar biasa pelayanan satpamnya,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanannya oke.terimakasih,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"cabangnya bersih, dan pelayanan yang ramah",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,3,"tellernya agak jutek ya, terus enggak ada greeting juga ke customer. tapi harusnya enggak kaget sih namanya juga bank mandiri",1
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sulit untuk dinakan,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanannya mantap tempatnya nyaman dan bersih,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,terima kasih bank mandiri royal taruma sudah memberikan pelayanan yang baik dan puas akan akan penjelasan yang,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,menyenangkan sekali,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"tempat nya bersih,nyaman dan rapi pelayanan baik dan ramah",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"staff nya asyik asyik, cabang bersih",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"mantab cabang rs royal, jemput nasabah, mudah jadi nya",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"pelayanan nya cukup baik dan ramah, cukup membantu",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"pelayanannya ramah dan memuaskan, tempatnya bersih dan nyaman. cabang royal taruma the best deh",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanan nya sangat ramah & baik.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"pelayanannya ok banget, karyawannya baik baik dan ramah",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanannya bagus. orangnya ramah ramah dan pokoknya terbaik deeh. terima kasih ya :),2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanannya terbaik,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,saya dibantu buka rekening mbak tika cepat prosabnya mantab,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,bank mandiri ok the best pelayanan ok semua.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"alhamdulillah kebantu banget sama staff nya, baik baik",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"sering transaksi disini,tmptnya nyaman dan sejuk, pelayanan bagus.",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,akhir nya buka rekmandiri juga kira di sapa staf nya yang ramah ramah,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanan dan tempatnya oke banget,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"team nya ramah ramah, sukses ya",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"pelayanannya baik, tempatnya bersih dan rapi.",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanan baik dan ruangan nya sangat rapi,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanan csnya topmarkotop,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanan oke,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"satpam nya mantap, cocok jadi satpam terbaik seindonesia",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanan bagus dan tempat yang bersih,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,tempatnya bersih pelayanan top,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"karyawannya ramah, pelayanannya bagus dan informasi dari security nya jelas. overall cabang ini bagus banget + nyaman soal tempatnya.",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"pelayanan nya oke, cabang nya bersih, pegawai nya cantik cantik, baik baik",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"cabangnya bersih dan stafnya ramah topmarkotop daahh,",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,pelayanan bagus kantornya bersih,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,enaknya pelayanan,2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"tempatnya nyaman, bersih dan dingin, pegawainya ramah dan baik sekali, senang transaksi disini.",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,"pelayanannya ramah, kantornya bersih",2
Bank Mandiri KCP Jakarta R.S. Royal Taruma,5,nyaman,2
