Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,"terima kasih kak annisa annur jannah atas pelayanannya ramah,baik, dan dimengerti untuk penjelasan tentang produk mandiri semoga sehat selalu kak annisa dan untuk mandiri tetap menjadi bank terbaik untuk pekerja maupun masyarakat",2
Bank Mandiri KCP Jakarta Radio Dalam,5,pelayanan ramah dan sangat cepat terselesaikan kan terimakasih,2
Bank Mandiri KCP Jakarta Radio Dalam,5,best,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,1,"bank mandiri ini cabang paling jelek! pegawai cs dikit, proses apapun lama. buang-buang waktu. 2x ke cabang ini literally enggak dapat apapun yang dibutuhkan! jelek ancur!!",0
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,nyaman&beresih rapi pisan pokoknya deh jadi tenang setornya,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,bagus. sangat membantu,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,parkiran luas dan nyaman security ramah,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,pakir lu kendaraan sangat luas,2
Bank Mandiri KCP Jakarta Radio Dalam,5,pelayanannya sangat ramah,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,"layanan yang baik,",2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,"parkir nyaman, c's nya cepat tanggap",2
Bank Mandiri KCP Jakarta Radio Dalam,5,cepat pelayanan c's nya,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,"pelanannya satset, karyawannya ramah semua",2
Bank Mandiri KCP Jakarta Radio Dalam,5,dapat diandalkan,2
Bank Mandiri KCP Jakarta Radio Dalam,5,"pertama kali datang ke cabang ini, puas banget sama pelayanannya, dari security sampai tellernya ramah-ramah.",2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,"tellernya ramah ramah, terima kasih mandiri cabang radio dalam",2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,amazing,2
Bank Mandiri KCP Jakarta Radio Dalam,1,"saya sedang bertanya kendala, malah di tinggal cari melayani yang lain,",0
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,"costumer service nya bagus banget terima kasih banyak buat kak rina sudah membantu pin aku yang terblokir, sori banget habis dari atm aku enggak balik ke kamu lagi karena sudah ada costumer yang lain, pokoknya terima kasih banyak ya! oh dan pak sekuriti juga top deh!",2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Radio Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
