Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,pelayanan ramah dan cepat.,2
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,pelayanan teller sangat cepat dan ramah,2
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,keren pelayanannya mantap!!terimakasih mandiri,2
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,"pelayanan teller, security, cs dan semua staff nya sangat baik",2
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,cabang nya bersih dan staff nya ramah,2
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,"rama dan mersih, transaksi man.",2
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,pelayanan ramah set set,2
Bank Mandiri KCP Jakarta Rasuna Episentrum,1,satpam dan layanan pelanggan kukang edukatif dalam menyampaikan informasiasi.,0
Bank Mandiri KCP Jakarta Rasuna Episentrum,5,"pengalaman buka rek mandiri yang menyenangkan. kantor luas, bersih, wangi. tidak ada antrian. terimakasih customer service (mbak femmy), security, kasir. sukses selalu",2
