Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Rawa Belong,5,pelayanan sangat ramah dan memuaskan,2
Bank Mandiri KCP Jakarta Rawa Belong,5,sangat cepat,2
Bank Mandiri KCP Jakarta Rawa Belong,5,pelayanan baik & cepat,2
Bank Mandiri KCP Jakarta Rawa Belong,5,lebih dari semua ok,2
Bank Mandiri KCP Jakarta Rawa Belong,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Rawa Belong,5,"saya nasabah lama di cab rawa belong, mbak csnya juga orang lama dari dulu tahu 2013.. mbak nya dari teler ke cs tetap ramah,murah senyum dan baik, kerjany cekatan",2
Bank Mandiri KCP Jakarta Rawa Belong,5,ramah cepat,2
Bank Mandiri KCP Jakarta Rawa Belong,5,pelayanannya cepat tanggap,2
Bank Mandiri KCP Jakarta Rawa Belong,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Rawa Belong,5,antrian nya cepat enggak lamaa,2
Bank Mandiri KCP Jakarta Rawa Belong,5,"layanan layanan pelanggan, keamanan, teller bank bagos, memuaskan, sangat membantu nasabah",2
Bank Mandiri KCP Jakarta Rawa Belong,5,pelayananan nya sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Rawa Belong,5,pelayanan cepat terus penanganannya juga ramah,2
Bank Mandiri KCP Jakarta Rawa Belong,5,saya ada kendala kartu atm cs nya cepat memberikan solusi,2
Bank Mandiri KCP Jakarta Rawa Belong,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Rawa Belong,5,mantap walau dah mau tutup tapi tetap di layani dengan ramah dan cepat,2
Bank Mandiri KCP Jakarta Rawa Belong,5,"pelayanan baik banget, ramah tamah, gacor pokoknya",2
Bank Mandiri KCP Jakarta Rawa Belong,5,"pelayanan ramah, dan cepat",2
Bank Mandiri KCP Jakarta Rawa Belong,5,terimakasih sudah dibantu pembukaan rekening dengan sangat baik. pelayanan yang sangat ramah.,2
Bank Mandiri KCP Jakarta Rawa Belong,5,pelayanannya ramah dan sopan murah senyum,2
Bank Mandiri KCP Jakarta Rawa Belong,5,pelayanannya ok,2
Bank Mandiri KCP Jakarta Rawa Belong,5,"pelayanan baik, ramah, cepat dan akurat",2
Bank Mandiri KCP Jakarta Rawa Belong,5,tellernya teliti dan mungil mungil orangnya,2
Bank Mandiri KCP Jakarta Rawa Belong,5,cs yang pakai kacamata ramah dan murah senyum,2
