Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,"tellernya menjelaskan dengan jelas, ketika menjelaskan pembukaan rekening, puas",2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,"ramah orangnya, cepat pelayanannya, terima kasih mbak rina cantik",2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,masalah celesia oleh cso mbak alya sudah baik. nilai 9 buat mbak alya.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,dengan cs mbak vina. baikk banget,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,oklah pelayanan cepat dan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,terimakasih pelayanan nya sangat baik dan ramah belia putri alfianki,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,"pelayanan prima, kerja bagus dengan kemampuan dan tim",2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,pelayanya sangat ramah dan menyenangkan,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,pelayanan ramah dan jelas oleh mbak vina,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,layanan cs sanget puas,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,3,"pengalaman biasa saja, tidak terlalu buruk tapi juga tidak istimewa.",1
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,lowong. cs nya sangat membantu.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,baik ramah man,2
Bank Mandiri KCP Jakarta Rawamangun Pegambiran,5,"cs bellia ramah, dijelskan setiap produk, baik,",2
