Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Rawamangun Pemuda,4,kakak info dong ada kah pegawai yang bernama meta dwi permata sari,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,1,gila antri sejam di teller tau-tau enggak bisa! enggak di info dari awal sama security nya!,0
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat ramah dan cepat,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,terima kasih mbak rina sudah dibantu,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,"terima kasih mbak rina ata bantuannya, saya jadi bisa lagi menggunakan hidup saya.",2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,ganti kartu sama mbak rina satset cepat,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,"pelayanan memuaskan, cepat dan ramah sama mbak irma yona",2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawamangun Pemuda,5,sangat puas dengan pelayanan yang diberikan.,2
