Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan nya bagus bersih tempatnya,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan satpamnya cepat,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,satpam nya baik sekali,2
Bank Mandiri KCP Jakarta Rawasari,5,"pelayanan cepat, security nya ramah",2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,satpamnya ramah sekali dan pelayanannya sangat responsif,2
Bank Mandiri KCP Jakarta Rawasari,5,"pelayanan cepat, ramah, oke dan bagus",2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,"pelayanannya khususnya bagian security sangat ramah, dibantu kalau ada kesulitan, serta penjelasan mudah dipahami",2
Bank Mandiri KCP Jakarta Rawasari,5,pelayananya baik kok securitynya sangat membantu,2
Bank Mandiri KCP Jakarta Rawasari,5,good job,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan security-nya keren sekali,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan satpamnya ramah dan bagus sekali,2
Bank Mandiri KCP Jakarta Rawasari,5,buka rekening cepat sekali dibantu security terimakasih pak satpam,2
Bank Mandiri KCP Jakarta Rawasari,5,terimakasih pelayanan cepat solusi alternatif dari securitynya,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,customer service dan security baik dan membantu customer,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,"pelayanannya sangat ramah, apalagi security nya very very ramah dan melayani dengan sangat baik.. thankyouu",2
Bank Mandiri KCP Jakarta Rawasari,5,terimakasih bank mandiri rawasari karyawannya baik baik security nya ramah banget,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,"pelayanan cepat, semua pegawai banknya termasuk security nya melayani dengan baik. terima kasih sudah memudahkan saya dalam bertransaksi",2
Bank Mandiri KCP Jakarta Rawasari,5,sekuritinya keren,2
Bank Mandiri KCP Jakarta Rawasari,5,"pelayanan cs dan security ramah, informatif, dan tempanya bersih.",2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,securitynya baik ramah murah senyum terimakasih ya pak,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan bagus dan cepat,2
Bank Mandiri KCP Jakarta Rawasari,5,buka rekening baru mantap,2
Bank Mandiri KCP Jakarta Rawasari,1,security dan pegawai ribet. orang cuman lupa password livin mandiri karena baru beli hape baru. dari dulu memang enggak punya kartu debit. orang bawa ktp sama orangnya anak saya kesitu. segala harus lapor polisi. anak saya dia jadi bikin ribet,0
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat membantu dengan mudah pembukaan rekening baru,2
Bank Mandiri KCP Jakarta Rawasari,5,"pelayanan nya baik , serta security memberi informasi kepada nasabah sangat detail .. excellent ..",2
Bank Mandiri KCP Jakarta Rawasari,5,"pelayanannya sangat baik dan ramah,bpk securitynya sangat cepat menangani caustamer",2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanannya sangat ramah dan terimakasih telah menemukan card holder saya. semoga kedepan tetap menjadi bank pilihan yang terbaik,2
Bank Mandiri KCP Jakarta Rawasari,5,mantap. buka rekening baru dibantu satpamnya yang super duper ramah,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan cukup baik dan satpamnya ramah,2
Bank Mandiri KCP Jakarta Rawasari,5,cepat dan ringkas,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,baik,2
Bank Mandiri KCP Jakarta Rawasari,5,security sangat informatif terimakasih pak darul,2
Bank Mandiri KCP Jakarta Rawasari,5,mantap pelayanan nya,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan bagus ramah,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan sangat bagus dan baik,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,mantaf,2
Bank Mandiri KCP Jakarta Rawasari,5,"saat saya melakukan pembaruan livin sangat dipermudah, pelayanannya cepat dan ramahh",2
Bank Mandiri KCP Jakarta Rawasari,5,pelayananya baik dan cepat,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,"teller saya hari ini mbak tabita sangat helpfull, ramah dan manis. tmkasih ya",2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanannya baik dan ramah dari satpam dan cs nya.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,"mas eka keren bintang 5, tingkatkan",2
Bank Mandiri KCP Jakarta Rawasari,5,ramah sekali pelayanannya dan sangat nyaman tempatnya,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan sekurty di cs ya sangat bagus.,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan bagus dan nyaman tempatnya,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,penyanyan satmpapatdan handal,2
Bank Mandiri KCP Jakarta Rawasari,5,"sangat puas dengan all pelayanannya,,terbaik buat mandiri rawasari",2
Bank Mandiri KCP Jakarta Rawasari,5,puas dengan pelayanannya,2
Bank Mandiri KCP Jakarta Rawasari,5,kami sangat puas atas layanan bank mandiri. cab rawa sari,2
Bank Mandiri KCP Jakarta Rawasari,5,saya sangat puas dengan pelayanannya.. cepat dan cermat,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Rawasari,5,super super keren all pelayanannya,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan baik dancepat,2
Bank Mandiri KCP Jakarta Rawasari,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan yang memuaskan. teller cantik dan ramah. terimakasih sudah banyak dibantu untuk bertransaksi,2
Bank Mandiri KCP Jakarta Rawasari,5,good,2
Bank Mandiri KCP Jakarta Rawasari,5,satpamnya ramah dan membantu,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Rawasari,5,"secara keseluruhan, pelayanan itu memuaskan, dan penjaga keamanan sangat ramah dan mendidik.",2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan satpam dan cs ramah,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan security ramah dan cepat,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Rawasari,5,"mas eka pelayanan nya ramah, sangat membantu saya untuk buka rekening, sukses selalu",2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan di bank mandiri cab sangat baik ramah dan cepat,2
Bank Mandiri KCP Jakarta Rawasari,5,"pelayanan teller nya baik ramahh bangett,satpam nya juga ramah , pelayanan nya cepat tidak lamaa",2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan baik dan sangat membantu.teler nya juga cantik cantik nih.,2
Bank Mandiri KCP Jakarta Rawasari,5,teller sangat ramah dan membantu,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,is good,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanan nya sangat ramah dan arahan penjelasan nya sangat detail,2
Bank Mandiri KCP Jakarta Rawasari,5,pelayanannya cepat dan memuaskan,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Rawasari,5,sangat bagus,2
Bank Mandiri KCP Jakarta Rawasari,5,good,2
Bank Mandiri KCP Jakarta Rawasari,3,"- pelayanan cukup baik, berdasarkan mayoritas ulasan. - fasilitas memadai, seperti ruang tunggu dan atm. - keluhan terhadap customer service (cs) beberapa nasabah mengeluhkan sikap",1
Bank Mandiri KCP Jakarta Rawasari,5,"pelayanannya sangat ramah dan komunikatif dari security dan costumer service, sangat membantu untuk masalah saya, ruangan juga bersih dan nyaman. recommended sekali",2
Bank Mandiri KCP Jakarta Rawasari,5,sangat puas dengan pelayanan yang diberikan.,2
