Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Raya Kosambi,5,"tellernya ramah dan baik, mbak dewi sangat membantu proses transaksi saya",2
Bank Mandiri KCP Jakarta Raya Kosambi,5,tellernya sangat ramah,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,"pelayanan ter ramah satpam nya baik ,cs nya ramah sekali ful senyum",2
Bank Mandiri KCP Jakarta Raya Kosambi,5,tempat dan pelayanannya bagus,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,secara keseluruhan baik .,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,pelayanannya bagus dan bersih tempatnya nyaman sekali bertransaksi,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,"cs luar biasa, komunikatif",2
Bank Mandiri KCP Jakarta Raya Kosambi,5,"pelayanannya baik, dan pegawainya ramah",2
Bank Mandiri KCP Jakarta Raya Kosambi,5,cabang yang bagus dan cepat,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,pelayanan yang baik dan ramah,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,manager operasional nya bapak cepi sangat baik sekali,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,pelayanan sangat ramah dan cepat.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,"disuruh pak cepi gustiawan kasih bintang 5 katanya. sukses selalu pak cepi, salam dari dfc family.",2
Bank Mandiri KCP Jakarta Raya Kosambi,5,cabang mandiri paling bersih ngalah2in cmonya,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,good,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,pelayanan cepat dan ramah. terimakasih,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,"pelayanannya baik, cepat dan ramah banget helpfull bangt.",2
Bank Mandiri KCP Jakarta Raya Kosambi,5,pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Raya Kosambi,5,pelayanan ramah tamah ful senyum kerja cepat tepat effisien,2
