Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Roxy Mas,5,semuanya baik dari stafnya & pelayanannya baik & ramah .,2
Bank Mandiri KCP Jakarta Roxy Mas,5,"hari ini dibantu sama kak cheryl ivana untuk pembuatan rekening dollar, sangat helpful bantuin buka rekening lokal & dollarnya + hadiah hehe. thank you untuk teller nya ramah ramah & helpful",2
Bank Mandiri KCP Jakarta Roxy Mas,5,teler nya ramah baik cekatan kerja nya,2
Bank Mandiri KCP Jakarta Roxy Mas,1,tellernya lelet banget,0
Bank Mandiri KCP Jakarta Roxy Mas,5,"saya selalu merasa puas setiap kali mengunjungi kcp bank mandiri jakarta roxy mas. pelayanan di sini sangat cepat dan stafnya selalu siap membantu dengan sangat profesional. proses transaksi berjalan dengan lancar tanpa hambatan, dan",2
Bank Mandiri KCP Jakarta Roxy Mas,5,"teller, cs, dan security nya ramah, pelayanannya juga cepat.",2
Bank Mandiri KCP Jakarta Roxy Mas,5,"pengalaman staff, cs, teller yang sangat ramah. siap siaga dalam membantu, terimakasih bank mandiri jakarta itc roxy mas",2
Bank Mandiri KCP Jakarta Roxy Mas,5,"tempatnya dingin, bersih, parkir luas pelayanannya ramah",2
Bank Mandiri KCP Jakarta Roxy Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Roxy Mas,5,"saya sangat puas dengan layanan yang diberikan oleh kcp bank mandiri jakarta roxy mas. petugas bank sangat ramah dan profesional, selalu siap membantu dengan cepat dan efisien. proses transaksi juga berjalan lancar, dan suasana di dalam",2
Bank Mandiri KCP Jakarta Roxy Mas,5,"pelayanannya ramah, cepat. parkir luas",2
Bank Mandiri KCP Jakarta Roxy Mas,5,layanan terbaik,2
Bank Mandiri KCP Jakarta Roxy Mas,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Roxy Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Roxy Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Roxy Mas,1,"pelayanan tellernya lambat, sudah menunggu hampir 40 menit untuk tarik tunai, masih melayani 2 nasabah yang masih belum berganti. kalau transaksi besar harusnya dibedakan ya jalurnya, kasihan banyak nasabah lain yang menunggu, pekerjaan kami tidak hanya mengantri saja kebetulan ya. too bad!",0
Bank Mandiri KCP Jakarta Roxy Mas,5,pelayanan pegawai nya semuanya oke bgt. parkiran juga luas,2
Bank Mandiri KCP Jakarta Roxy Mas,1,"satpam nya seperti orang bingung pas ditanya bayar bpjs,masih bagus satpam baca ditambah teller nya lama",0
Bank Mandiri KCP Jakarta Roxy Mas,5,pelayanan-nya bagus sekali saya sangat puss. dengan bank mandiri,2
Bank Mandiri KCP Jakarta Roxy Mas,5,bagus,2
Bank Mandiri KCP Jakarta Roxy Mas,5,good,2
Bank Mandiri KCP Jakarta Roxy Mas,5,"pelayanan ramah, akses nya gampang dan parkiran nya juga luas",2
Bank Mandiri KCP Jakarta Roxy Mas,5,"bersih, pelayanan nya ramah ..",2
Bank Mandiri KCP Jakarta Roxy Mas,5,pelayanananya cepat dan ramah,2
Bank Mandiri KCP Jakarta Roxy Mas,1,"nanggu antrian 2 orang saja sampai hampir 1 jam, itu bukan logika!",0
