Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta S. Parman,5,tempat ini bersih dan keamanan begitu sopan.,2
Bank Mandiri KCP Jakarta S. Parman,5,first time penukaran uang baru di mandiri kcp si parman,2
Bank Mandiri KCP Jakarta S. Parman,5,pelayanannya bagus cs nya ramah,2
Bank Mandiri KCP Jakarta S. Parman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta S. Parman,5,"saya melakukan pengganti kartu di sini, penjaga keamanan yang sopan, petugas cs ramah dan sangat membantu.",2
Bank Mandiri KCP Jakarta S. Parman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta S. Parman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta S. Parman,5,senang berkunjung dan bertransaksi di kcp sparman karena semuanya ramah dan menyenangkan,2
Bank Mandiri KCP Jakarta S. Parman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta S. Parman,5,terimakasih bantuannya semangat makin ok pelayanan nya,2
Bank Mandiri KCP Jakarta S. Parman,5,"pelayanannya bagus, cs nya ramah2..",2
Bank Mandiri KCP Jakarta S. Parman,5,pelayanannya luar biasa awesome,2
Bank Mandiri KCP Jakarta S. Parman,5,mantap,2
