Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Sabang,5,satpamnya ramah dan sangat membantu. cs nya juga sigap. kantor cabangnya juga bersih dan dingin,2
Bank Mandiri KCP Jakarta Sabang,1,"selalu enggak tepat waktu, pelayanannya lelet buang buang waktu dibuatnya",0
Bank Mandiri KCP Jakarta Sabang,2,"teller di branch ini hanya ada 2, tiap melakukan transaksi di branch ini, selalu lama. setiap datang pukul 8 pagi, selalu belum siap dan melayani sekedarnya",0
Bank Mandiri KCP Jakarta Sabang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sabang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sabang,5,pegawainya ramah ramah dan pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Sabang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sabang,5,pelayanan yang sangat ramah dan cepat prosesnya. excelent,2
Bank Mandiri KCP Jakarta Sabang,5,"tempat nya nyaman, luas, dan pelayanannya ramah",2
Bank Mandiri KCP Jakarta Sabang,5,lokasi strategis dan pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Sabang,1,antrian ke customer service terlalu lama seperti tidak ada sop berapa lama melayani customer,0
