Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Saharjo,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Saharjo,5,"sangat baik dengan teller yang responsif serta cepat tanggap dalam pelayanannya, terima kasih atas pelanyananya",2
Bank Mandiri KCP Jakarta Saharjo,5,mantap pelayanannya,2
Bank Mandiri KCP Jakarta Saharjo,5,layanan prima memenuhi kebutuhan nasabah.,2
Bank Mandiri KCP Jakarta Saharjo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Saharjo,5,"pelayanan yang sangat baik ramah"" terima kasih banyak",2
Bank Mandiri KCP Jakarta Saharjo,5,best mandiri bisa bantu semua keluhan. ramah dan cepat. frontliner nya cantik,2
Bank Mandiri KCP Jakarta Saharjo,1,enggak lagi buat datang ke cabang saharjo ini. datang bolak balik enggak ada penyelesaian masalah.,0
Bank Mandiri KCP Jakarta Saharjo,5,pelayanan baik. teller ramah dan bersahabat,2
Bank Mandiri KCP Jakarta Saharjo,2,cs nya ramah tapi sayang enggak bisa handle,0
Bank Mandiri KCP Jakarta Saharjo,1,tulisan nya open tapi disamperin tutup,0
Bank Mandiri KCP Jakarta Saharjo,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Saharjo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Saharjo,1,atm rusak teler nya lama parkir nya tunai,0
Bank Mandiri KCP Jakarta Saharjo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Saharjo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Saharjo,5,"alhamdulillah cs ramah,baik n sabar bgt.pelayananny ok.txs ya mbak tri wahyuni.",2
Bank Mandiri KCP Jakarta Saharjo,5,mbak tri cs nya baik dan ramah,2
Bank Mandiri KCP Jakarta Saharjo,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Saharjo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Saharjo,5,ini tongkat pauna baik baik banget mana gercep banget kerjanya.,2
Bank Mandiri KCP Jakarta Saharjo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Saharjo,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Saharjo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Saharjo,5,baik,2
Bank Mandiri KCP Jakarta Saharjo,5,baik ramah baguus,2
Bank Mandiri KCP Jakarta Saharjo,5,terima kasih bank mandiri kcp saharjo transaksi kredit mikro saya berjalan lancar,2
Bank Mandiri KCP Jakarta Saharjo,5,bagus,2
Bank Mandiri KCP Jakarta Saharjo,5,ramah baik dan cepat,2
Bank Mandiri KCP Jakarta Saharjo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Saharjo,5,cepat handal,2
Bank Mandiri KCP Jakarta Saharjo,5,"terima kasih bank mandiri saharjo transaksi saya berjalan aman,cepat",2
Bank Mandiri KCP Jakarta Saharjo,5,pelayanan nya baik dan ramah,2
Bank Mandiri KCP Jakarta Saharjo,5,"pelayanan baik , teller ramah , sabar sabar karyawan nya, di bantu hingga selesai",2
Bank Mandiri KCP Jakarta Saharjo,5,baik,2
Bank Mandiri KCP Jakarta Saharjo,5,"tempat nya bersih nyaman, pelayan nya ramah",2
Bank Mandiri KCP Jakarta Saharjo,5,terima kasih buat pelayanan nya,2
Bank Mandiri KCP Jakarta Saharjo,5,"pelayanan nya bagus, cepat, dan tanggap. the best pokok nya",2
Bank Mandiri KCP Jakarta Saharjo,5,cs nya ramah,2
Bank Mandiri KCP Jakarta Saharjo,5,cs & teller ram dan sangat membantu,2
Bank Mandiri KCP Jakarta Saharjo,5,urus apa saja disini gampang dan cepat,2
Bank Mandiri KCP Jakarta Saharjo,5,teller nya ramah,2
Bank Mandiri KCP Jakarta Saharjo,5,pelayanan yang baik.,2
Bank Mandiri KCP Jakarta Saharjo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Saharjo,5,terima kasih bank mandiri jakarta saharjo atas pelayanan nya,2
Bank Mandiri KCP Jakarta Saharjo,5,pinjaman sangat baik terimakasih bank mandiri saharjo,2
Bank Mandiri KCP Jakarta Saharjo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Saharjo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Saharjo,5,"pelayanan nya sangat memuaskan , staf nya ramah ramah",2
Bank Mandiri KCP Jakarta Saharjo,5,ramah dan terpercaya.,2
Bank Mandiri KCP Jakarta Saharjo,5,"pelayanannya baik, ramah",2
