Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayananya cepat dan ramah,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan oke loh cepat satset enggak pakai ribet yuk datang ke salemba raya,2
Bank Mandiri KCP Jakarta Salemba Raya,5,mantap proses mudah dan tidak sulit,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan bagus..ok,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,bagus dan rumah,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Salemba Raya,5,top,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan teller baik,2
Bank Mandiri KCP Jakarta Salemba Raya,5,jadi punyalivin,2
Bank Mandiri KCP Jakarta Salemba Raya,5,"mas samuel ramah. baik , informatif. top pokoknya",2
Bank Mandiri KCP Jakarta Salemba Raya,5,staf ramah dan sangat membantu ..,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Salemba Raya,5,bagus,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan buka blokir sangat cepat dan ramah,2
Bank Mandiri KCP Jakarta Salemba Raya,5,terima kasih sudah dibantuin bikin livin baik banget,2
Bank Mandiri KCP Jakarta Salemba Raya,5,service-nya baik dan cepat juga,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,"pelayanan baik, teller ramah",2
Bank Mandiri KCP Jakarta Salemba Raya,5,perfecto tapi cepat dan prudent,2
Bank Mandiri KCP Jakarta Salemba Raya,5,atas & sabar banget dalam pelayanan,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,alhamdulillah livin ya bisa lagi,2
Bank Mandiri KCP Jakarta Salemba Raya,5,jadi punya rekening mandiri nih semoga banyak rezeki,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pembuatan livin dilayanin sangat baik,2
Bank Mandiri KCP Jakarta Salemba Raya,5,layanan yang bagus!,2
Bank Mandiri KCP Jakarta Salemba Raya,5,"untuk pelayanannya sangat baik terutama cara komunikasi staff nya sangat mudah di mengerti, sangat membantu dan kooperatif",2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanannya sangat ramah,2
Bank Mandiri KCP Jakarta Salemba Raya,5,layanan yang sangat baik,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,semua pegawai ramah,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Salemba Raya,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,"sangat bagus tempatnya, dan ramah ramah juga csnya",2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,1,tutup jangan bilang buka,0
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan nya cepat,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat oke,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayannya cepat,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat baik,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat baik dan terlalu baik,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,"pelayanan cepat, ramah, prosesnya mudah di pahami",2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,joss,2
Bank Mandiri KCP Jakarta Salemba Raya,5,"teller nya transaksinya cepet, cabangnya bersih dan staff nya ramah2",2
Bank Mandiri KCP Jakarta Salemba Raya,5,"pelayanannya ramah, service nya juga bagus banget",2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan bagus luar biasa,2
Bank Mandiri KCP Jakarta Salemba Raya,1,"kesal sekali dengan pungli di sini. saya malam urgent mau tarik tunai enggak sampai lima menit ya! pas motor saya mau jalan keluar malah di tahan di pepet sama sih bapaknya! daripada malas dan di pepet terus, saya bilang kalo saya enggak ada",0
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan yang luar biasa baik,2
Bank Mandiri KCP Jakarta Salemba Raya,5,"tellernya mbak riska dan mas samuel baik, mbak silvi baik. semuanya baik. csnya baik",2
Bank Mandiri KCP Jakarta Salemba Raya,5,"pelayanan cepat, senyum ramah sekali, pokok bintang 5 deh, apalagi customer service nya tuh luar biasa i love itu",2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan teller ramah apalagi yang bernama mbak riska purnamasari selalu tanggap melayani nasabah,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,"alhamdulillah selama jadi nasabah bank mandiri semua karyawan nya ramah2, sukses selalu",2
Bank Mandiri KCP Jakarta Salemba Raya,5,tealer sangat ramah dan sopan,2
Bank Mandiri KCP Jakarta Salemba Raya,5,good,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanannya memuaskan,2
Bank Mandiri KCP Jakarta Salemba Raya,5,cepat dan baik pelayanannya ramah juga,2
Bank Mandiri KCP Jakarta Salemba Raya,5,teler nya ramah,2
Bank Mandiri KCP Jakarta Salemba Raya,2,sangat di sayang kan sih aturan palkir nya fokus ke tempat makan saja bukan ke tempat atm,0
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Salemba Raya,5,"bank mandiri salemba raya, tempat nya strategis, pelayanan nya baik. mulai dari security, teller, cs dan ob nya pun ramah - ramah .",2
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayananya ramah dan cepat,2
Bank Mandiri KCP Jakarta Salemba Raya,1,"pelayanan konfirmasi untuk cek lambat, kurang cepat respon sudah sering kejadian nya setiap ada konfirmasi cek saya selalu menunggu lama",0
Bank Mandiri KCP Jakarta Salemba Raya,1,"pelayanan lambat, antrian panjang, jika ada orang lain kenal di dahului, mengecewakan",0
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Salemba Raya,5,pelayanan nya cepat,2
Bank Mandiri KCP Jakarta Salemba Raya,5,"layanan yang baik, bertanggung jawab, dan tersenyum",2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,"pelayanan security nya ramah, cs nya satset",2
Bank Mandiri KCP Jakarta Salemba Raya,5,"pelayanan teller tidak solutif update : sangat berterima kasih untuk bu silvie, sudah berusaha untuk kontak fara dan menjelaskan detail kronologi nya dari pihak mandiri. sangat apresiasi untuk ibu silvie.",2
Bank Mandiri KCP Jakarta Salemba Raya,2,"saya cukup puas dengan kinerja, penjelasan dan bantuan dari karyawan mandiri dari segi teller,cs bahkan satpamnya akan tetepi saya malas untuk datang lagi ke sana karena tukang parkir sangat meresahkan. saya pernah mau ke atm hanya untuk",0
Bank Mandiri KCP Jakarta Salemba Raya,5,cs syahnas very helpful ketika saya mau menguangkan emoney yang rusak,2
Bank Mandiri KCP Jakarta Salemba Raya,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Salemba Raya,5,sangat puas dengan pelayanan yang diberikan.,2
