Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Semper Barat,5,pembukaan yapi berjalan iancar,2
Bank Mandiri KCP Jakarta Semper Barat,5,terima kasih pelayanan bagus yapi sudah diambil,2
Bank Mandiri KCP Jakarta Semper Barat,5,csnya baik dan ramah.. pelayanan cepat dan memuaskan,2
Bank Mandiri KCP Jakarta Semper Barat,5,pelayanan ramah dan memuaskan.. customer servicenya handal dan ramah.. sukses selalu karyawan dan karyawati bank mandiri semper,2
Bank Mandiri KCP Jakarta Semper Barat,5,terima kasih tapi sudah diambil,2
Bank Mandiri KCP Jakarta Semper Barat,5,bintang 5,2
Bank Mandiri KCP Jakarta Semper Barat,5,pelayanan ramah terima kasih dibantu untuk yapinya,2
Bank Mandiri KCP Jakarta Semper Barat,5,pelayanan cepat pengambilan yapi,2
Bank Mandiri KCP Jakarta Semper Barat,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Semper Barat,5,baik cs layanan yang baik.,2
Bank Mandiri KCP Jakarta Semper Barat,5,"pelayanan yang sangat baik dan ramah , cepat",2
Bank Mandiri KCP Jakarta Semper Barat,1,cabang paling buruk sedunia pelayanan tidak memuaskan tidak ada solusi mau ambil duit di atm saja susah posisi orang di luar negeri padahal sudah ada surat kuasa.sumpah jangan sampai nabung di bank mandiri cabang semper barat sumpah ribet banget.kapok saya nabung di bank mandiri,0
Bank Mandiri KCP Jakarta Semper Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Semper Barat,5,pelayanan nya cepat,2
Bank Mandiri KCP Jakarta Semper Barat,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Semper Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Semper Barat,5,pelayanan ramah dan nyaman,2
Bank Mandiri KCP Jakarta Semper Barat,5,cs nya ramah.. layanan yang baik,2
Bank Mandiri KCP Jakarta Semper Barat,5,good,2
Bank Mandiri KCP Jakarta Semper Barat,5,"pelayanan ramah, penjual cantik",2
Bank Mandiri KCP Jakarta Semper Barat,5,"baik ,bagus",2
Bank Mandiri KCP Jakarta Semper Barat,5,pembukaan rekening online sudah berhasil,2
Bank Mandiri KCP Jakarta Semper Barat,5,pelayanan nya bagus banget,2
Bank Mandiri KCP Jakarta Semper Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Semper Barat,5,pak andre ganteng banget,2
Bank Mandiri KCP Jakarta Semper Barat,5,ramah baik,2
Bank Mandiri KCP Jakarta Semper Barat,5,"pelayanan nya bagus, pegawai nya ramah",2
Bank Mandiri KCP Jakarta Semper Barat,5,"server bagus dan memuaskan,,",2
Bank Mandiri KCP Jakarta Semper Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Semper Barat,5,good,2
Bank Mandiri KCP Jakarta Semper Barat,5,pelayananan bagus,2
Bank Mandiri KCP Jakarta Semper Barat,5,"pelayanan memuaskan, pegawainya helpfull",2
Bank Mandiri KCP Jakarta Semper Barat,5,"layanan terbaik, vs helpful!",2
Bank Mandiri KCP Jakarta Semper Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Semper Barat,5,cepat sekali proses nya .baik pelayanan nya,2
Bank Mandiri KCP Jakarta Semper Barat,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Semper Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Semper Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Semper Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Semper Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Semper Barat,5,"pelayanannya ramah dan cepat, csnya sangat sabar dan teliti. terimakasih mandiri semper barat",2
Bank Mandiri KCP Jakarta Semper Barat,5,"bagus bgtt, sangat membantuu",2
Bank Mandiri KCP Jakarta Semper Barat,5,"pelayanan cepat, ramah",2
Bank Mandiri KCP Jakarta Semper Barat,5,pelangyan ramah meski ramai,2
Bank Mandiri KCP Jakarta Semper Barat,5,bersih,2
Bank Mandiri KCP Jakarta Semper Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Semper Barat,2,sudah jam 09.12 cs nya cuma 1 doang lah yang lain malah pada asik main hp,0
Bank Mandiri KCP Jakarta Semper Barat,5,"pelayanan satset, security juga sangat membantu gakaya di depan bulog bad attitude bgt!!",2
