Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Senayan City,5,ramah banget t pelayanan bagouss,2
Bank Mandiri KCP Jakarta Senayan City,5,pegawai nya ramah-ramah terutama yang namanya renata,2
Bank Mandiri KCP Jakarta Senayan City,5,tellernya ramah semua pelayanan cepat tempatnya nyaman.mantab,2
Bank Mandiri KCP Jakarta Senayan City,5,terima kasih atas pelayanannya,2
Bank Mandiri KCP Jakarta Senayan City,5,pelayanan baik banget!,2
Bank Mandiri KCP Jakarta Senayan City,5,baik membernya,2
Bank Mandiri KCP Jakarta Senayan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Senayan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Senayan City,5,ramah dan cepat semua pegawainya,2
Bank Mandiri KCP Jakarta Senayan City,5,pelayanan nya sigap dan cepat,2
Bank Mandiri KCP Jakarta Senayan City,5,tellernya baik dan ramah,2
Bank Mandiri KCP Jakarta Senayan City,5,"pelayanan nya baik, semua pegawai ramah dan murah senyum",2
Bank Mandiri KCP Jakarta Senayan City,5,good,2
Bank Mandiri KCP Jakarta Senayan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Senayan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Senayan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Senayan City,1,"teller nya sedikit dan lama sekali ngantrinya, mohon jadi perhatian selalu stand by untuk tellernya",0
Bank Mandiri KCP Jakarta Senayan City,5,"bank mandiri memang bank bumn the best deh, di mandiri sency ini dari satpamnya saja sudah sigap dan satset tau kebutuhan nasabah apa, no ribet ribet. memudahkan bangett. sukses selalu semua pegawai mandiri sency",2
Bank Mandiri KCP Jakarta Senayan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Senayan City,5,"kcp terbaik di dunia, gue baru mikir mau mengapai eh satpamnya sudah tau butuh apa",2
Bank Mandiri KCP Jakarta Senayan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Senayan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Senayan City,5,"pelayanan ramah dan cepat, lebih baik dari bank-bank kebanyakan",2
Bank Mandiri KCP Jakarta Senayan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Senayan City,5,pelayanan sangat ramah dan satset,2
Bank Mandiri KCP Jakarta Senayan City,5,layanan yang baik,2
Bank Mandiri KCP Jakarta Senayan City,5,baik mbak diflah dan mbak pebbi,2
Bank Mandiri KCP Jakarta Senayan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Senayan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Senayan City,5,pelayanan yang cepat dan ramah,2
Bank Mandiri KCP Jakarta Senayan City,5,"seler ramah, produk yang di jelaskan mumah di mengerti",2
Bank Mandiri KCP Jakarta Senayan City,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Senayan City,5,"bagus , ramah dan cepat pelayanan nya..",2
Bank Mandiri KCP Jakarta Senayan City,5,securty nya baik teller ramah cs nya ramah,2
Bank Mandiri KCP Jakarta Senayan City,5,"pelayanan sangat memuaskan. sangat""ramah",2
