Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Simprug,5,tellernya ramah,2
Bank Mandiri KCP Jakarta Simprug,5,"pelayanan cepat, tempatnya bersih dan nyaman",2
Bank Mandiri KCP Jakarta Simprug,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Simprug,5,"cabangnya nyaman, bersih dan helpfull. thanks",2
Bank Mandiri KCP Jakarta Simprug,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Simprug,5,"tempatnya nyaman, cs dan tellernya sangat membantu. ruang atm tepat disamping kantor cabang.",2
Bank Mandiri KCP Jakarta Simprug,5,pelayanan nya cepat dan ramah,2
Bank Mandiri KCP Jakarta Simprug,5,"pelayanan cepat dan informatif, suasana nyaman dan bersih",2
Bank Mandiri KCP Jakarta Simprug,5,"pelayanan ya baik, security ya ramah"", bersih lingkungan yaa. jangan ragu ke cabang simprug",2
Bank Mandiri KCP Jakarta Simprug,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Simprug,5,ramah ramah pelayanan nya,2
Bank Mandiri KCP Jakarta Simprug,5,"menabung pangkal kaya,",2
Bank Mandiri KCP Jakarta Simprug,5,staff dan satpamnya ramah sekali terhadap nasabah yang datang. terbaik pokoknya mandiri cabang simprug,2
Bank Mandiri KCP Jakarta Simprug,5,"pelayanannya bagus, cepat tanggap, informatif dan ramah sekali semua staffnya. area banknya juga bersih dan nyaman",2
Bank Mandiri KCP Jakarta Simprug,5,"lingkung orang itu,pegawai ramah"" dan cantik"" .",2
Bank Mandiri KCP Jakarta Simprug,1,kalau ada keperluan kecil mending ke cabang lain. di sini hanya ada satu cs dan saya harus menunggu lebih dari 1 jam untuk print dan legalisir rekening koran.,0
Bank Mandiri KCP Jakarta Simprug,5,pelayanannya cepat dan ramah,2
Bank Mandiri KCP Jakarta Simprug,5,Sangat puas dengan pelayanan yang diberikan.,2
