Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Slipi Jaya,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,terima kasih untuk prlayanan teller nya mbak efriyanti,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,"terima kasih mbak efri, teller yang baik dan ramah. sukses terus mandiri slipi jaya",2
Bank Mandiri KCP Jakarta Slipi Jaya,5,nyaman cepat dalam pelayanan telernya baik banget,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,adem enak buat tidur,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,pelayanannya bagus dan ramah semuanya . pokoknya bagus semuanya deh,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,terima kasih,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,"transaksi cepat, responsif csa",2
Bank Mandiri KCP Jakarta Slipi Jaya,5,"masyaallah pelayanan di bank mandiri kcp. slipi jaya memuaskan, staf nya masyaallah ramah"" banget keren pokoknya",2
Bank Mandiri KCP Jakarta Slipi Jaya,5,terima kasih pelayanannya,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,terima kasih pelayanya mas nurdin,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,terima kasih untuk pelayananya,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,keren pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,cs nya (ms debi) melayani dengan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,terima kasih,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,terima kasih,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,cs nya cukup ramah kita dilayanani dengan baik dan sopan dan sabar karena saya yang sudah menjelang lansia . semoga semua cs di seluruh bank mandiri melayani dengan ramah .seperti debi yohana .,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,terima kasih,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,nice,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,"aku buka rekening mandiri di kcp mandiri satset banget, dibantu sama pakai satpam dan cs nya super baik dan gercep namanya mbak alfi arida.. sukses terus ya bank mandiri",2
Bank Mandiri KCP Jakarta Slipi Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,terina kasih mbak alfi bantuanya,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,terima kasih mbak alfi bantuannya,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,pelayanan nya mantap dan castamer servis nya ramah,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,"cs nya ramah, cabang langganan dari saya sma",2
Bank Mandiri KCP Jakarta Slipi Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,"thanks mandiri slipi jaya, pelayanan ramah dan cabang nya bersih nyaman..",2
Bank Mandiri KCP Jakarta Slipi Jaya,5,pelayanan ramah.,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,sangat memuaskan pelayanan ya,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,"terima kasih layanan nya baik,pegawai nya ramah ramah",2
Bank Mandiri KCP Jakarta Slipi Jaya,5,"kata-katanya bagus, pelayanan sangat memuaskan terimakasih.",2
Bank Mandiri KCP Jakarta Slipi Jaya,5,terima kasih ya mbak ..cs nya ramah2,2
Bank Mandiri KCP Jakarta Slipi Jaya,5,"pelayanan baik, cs dan security ramah2,,",2
