Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Sopo Del Tower,5,"pelayanan ramah, cepat .. memuaskan",2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,"selama menjadi nasabah di cabang sopodell tower ,pelayanan cukup baik dan ramah,sangat membantu dalam segala transaksi,amanah terus cabang sopodell",2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,"security, cs dan teller sangat ramah dan membantu",2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,bisa menyelesaikan masalah kartu atm expired hanya dalam waktu 10 menit,2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Sopo Del Tower,5,"cepat tanggap satpam nya, keren",2
