Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta South Quarter,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta South Quarter,5,"pelayanan yang baik. cs,teller,securitynya ramah ramah, the best",2
Bank Mandiri KCP Jakarta South Quarter,5,"customer servicenya baik dan ramah2, securitynya juga ramah. pelayanannya juga bagus",2
Bank Mandiri KCP Jakarta South Quarter,5,"staff cs dan teller nya ramah , pelayanan juga cepat",2
Bank Mandiri KCP Jakarta South Quarter,5,karyawan nya baik baik banget! bersihh juga tempatnya!,2
Bank Mandiri KCP Jakarta South Quarter,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta South Quarter,5,"terima kasih,sudah di bantu bikin atm saya",2
Bank Mandiri KCP Jakarta South Quarter,5,pelayanan ramah dan informatif,2
Bank Mandiri KCP Jakarta South Quarter,5,ramah cepat amanah,2
Bank Mandiri KCP Jakarta South Quarter,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta South Quarter,5,dia adalah wakil dari akhlak bumn. terima kasih putri terima kasih mandiri,2
Bank Mandiri KCP Jakarta South Quarter,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta South Quarter,5,pelayanan customer service sangat cepat dan ramah,2
Bank Mandiri KCP Jakarta South Quarter,5,"pelayanannya ramah banget, sok happyy. terima kasih sudah dibantuu!",2
Bank Mandiri KCP Jakarta South Quarter,5,"cs nya baik banget apalagi kak shafarina baikk,help full good",2
Bank Mandiri KCP Jakarta South Quarter,5,"bagus banget pelayanannya ,ramah dan murah senyum..bravo",2
Bank Mandiri KCP Jakarta South Quarter,5,cs sangat ramah dan helpful,2
Bank Mandiri KCP Jakarta South Quarter,5,pelayannya sangat ramah dan helpful,2
Bank Mandiri KCP Jakarta South Quarter,1,"mesin atm nya enggak bisa tarik tunai tanpa kartu, sudah 2 minggu enggak ada perbaikan.",0
Bank Mandiri KCP Jakarta South Quarter,2,"mesin atm mandiri cuma 1 , mesinnya lemot. jadi antri lama dan panjang banget. kalah sama mesin atm bank sebelah",0
Bank Mandiri KCP Jakarta South Quarter,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta South Quarter,1,nlp cc 140 menunggu tersambung ke csnya lama banget! giliran baru tersambung pulsa keburu habis :) sia-sia banget.,0
Bank Mandiri KCP Jakarta South Quarter,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta South Quarter,5,pelayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta South Quarter,5,"pelayanan sangat baik, staff ramah dan sangat helpful. informasi dijelaskan secara detail :)",2
Bank Mandiri KCP Jakarta South Quarter,1,"pelayanan sangat buruukk. cabang mandiri terburuk yang pernah saya datangi, antrinya enggak kira-kira lamanya",0
Bank Mandiri KCP Jakarta South Quarter,2,"antrian lama banget, bisa >1 jam. mengecewakan",0
