Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta St Moritz,5,"allhamdulillah sudah bisa lagi ,menggunakan aplikasi livin dengan di bantu oleh pak galih orang nya ramah dan sangat baik dalam menjelaskan permasalahan yang saya alami di aplikasi livin yang tidak bisa saya gunakan semenjak pergantian device/hp. sukses terus untuk pak galih.",2
Bank Mandiri KCP Jakarta St Moritz,5,cs keren,2
Bank Mandiri KCP Jakarta St Moritz,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta St Moritz,5,pelayanan nya baik dan sangat ramah,2
Bank Mandiri KCP Jakarta St Moritz,5,"pelayanannya sat set, ramah ramah jugaa, pertahankan!",2
Bank Mandiri KCP Jakarta St Moritz,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta St Moritz,5,tempat terbaik dalam segi pelayanan +tempatnya bersih,2
Bank Mandiri KCP Jakarta St Moritz,5,"pelayanannya terbaik, staff nya juga ramah2 & helpfull banget",2
Bank Mandiri KCP Jakarta St Moritz,5,"sangat baik pelayanannya ,semua staffnya ramah ,tellernya sangat teliti..",2
Bank Mandiri KCP Jakarta St Moritz,5,bagus tempatnya luas,2
Bank Mandiri KCP Jakarta St Moritz,5,tempat nya luas,2
Bank Mandiri KCP Jakarta St Moritz,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta St Moritz,5,tempatnya rapi bersih wangi ac nya dingin,2
Bank Mandiri KCP Jakarta St Moritz,5,"pelayanannya oke banget, tempatnya bersih dan rapi.",2
Bank Mandiri KCP Jakarta St Moritz,5,"cabang yang berada di dalam mall ,pegawai nya cepat tanggap dan sopan pelayanan nya terbaik",2
Bank Mandiri KCP Jakarta St Moritz,5,"cabang nya bagus, pelayanan cepat, ramah, dan teller, cs, security, dan tim axa nya ganteng dan cantik cantik.",2
Bank Mandiri KCP Jakarta St Moritz,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta St Moritz,5,pelayanannya bagus dan staff nya ramah ramah,2
Bank Mandiri KCP Jakarta St Moritz,5,pelayanannya bagus dan tempatnya bersih,2
Bank Mandiri KCP Jakarta St Moritz,5,pelayanan dan tempatnya bagus,2
