Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Sudirman Plaza,3,mantap,1
Bank Mandiri KCP Jakarta Sudirman Plaza,2,"maaf untuk review buruk, tapi aku berharap cabang ini dihitung sebagai cabang besar, tetapi kenyataannya adalah cs mereka hanya terbuka 1 meja saya tahu ini adalah ramadhan periode, tapi setidaknya mereka terbuka untuk setengah dari kapasitas .",0
Bank Mandiri KCP Jakarta Sudirman Plaza,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Sudirman Plaza,5,mantap mbm nya,2
Bank Mandiri KCP Jakarta Sudirman Plaza,5,pak angga mbm idaman wanita,2
Bank Mandiri KCP Jakarta Sudirman Plaza,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Sudirman Plaza,5,"nyaman cepat handal, terimakasih",2
Bank Mandiri KCP Jakarta Sudirman Plaza,5,"mantapp, langsung sat set",2
Bank Mandiri KCP Jakarta Sudirman Plaza,5,sok comfort,2
Bank Mandiri KCP Jakarta Sudirman Plaza,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Sudirman Plaza,5,nyaman,2
Bank Mandiri KCP Jakarta Sudirman Plaza,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Sudirman Plaza,5,"pelayan cepat,,oke",2
