Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Sukapura,5,pelayan sangat ramah,2
Bank Mandiri KCP Jakarta Sukapura,5,teller nya ramah banget,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,pelayanan good trimakasih bank mandiri sukapura,2
Bank Mandiri KCP Jakarta Sukapura,5,transaksi pergantian atm di cs,2
Bank Mandiri KCP Jakarta Sukapura,5,buka rekening lewat living dan cetak kartu di cs,2
Bank Mandiri KCP Jakarta Sukapura,5,buka rekening online dan cetak atm di livin by mandiri,2
Bank Mandiri KCP Jakarta Sukapura,5,cetak kartu atm dan buka rekening,2
Bank Mandiri KCP Jakarta Sukapura,5,ganti kartu atm hilang di cs,2
Bank Mandiri KCP Jakarta Sukapura,5,ganti atm rusak,2
Bank Mandiri KCP Jakarta Sukapura,5,ganti atm rusak di ca,2
Bank Mandiri KCP Jakarta Sukapura,5,ganti atm rusak dan aktivasi livin,2
Bank Mandiri KCP Jakarta Sukapura,5,bikin rek online dan qris untuk usaha di cs,2
Bank Mandiri KCP Jakarta Sukapura,5,cetak kartu atm di cs,2
Bank Mandiri KCP Jakarta Sukapura,5,ganti atm hilang di cs,2
Bank Mandiri KCP Jakarta Sukapura,5,aktivasi livin by mandiri di cs,2
Bank Mandiri KCP Jakarta Sukapura,5,cetak kartu atm di cs,2
Bank Mandiri KCP Jakarta Sukapura,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Sukapura,5,"transaksi buka rekening simpel, di customer service thoseerce.",2
Bank Mandiri KCP Jakarta Sukapura,5,pelayanan the best bngt,2
Bank Mandiri KCP Jakarta Sukapura,5,"sangat baik, dan ramah",2
Bank Mandiri KCP Jakarta Sukapura,5,"pelayanan nya cepat, pegawai ramah ramah.",2
Bank Mandiri KCP Jakarta Sukapura,5,pelayanan nya yang ramah dan cepat,2
Bank Mandiri KCP Jakarta Sukapura,5,transaksi ganti atm dan pin,2
Bank Mandiri KCP Jakarta Sukapura,5,pelayanan baik ramah,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,buka rekening online dan livin merchent,2
Bank Mandiri KCP Jakarta Sukapura,5,pelayanannya sangat bagus,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,cihuuytt buka rekening mandiri online gampang loch,2
Bank Mandiri KCP Jakarta Sukapura,5,"saya bikin rek ,penyambutan security-nya ramah mas bambang dan mas hari penjelasannya detail banget rekomen deh cabang sukapura",2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,"pelayanan baik, semua ramah, thanks",2
Bank Mandiri KCP Jakarta Sukapura,5,mantab pelayanan nya,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,4,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,"pelayanan baik, pegawainya ramah ramah",2
Bank Mandiri KCP Jakarta Sukapura,5,pelayanan security nya mantap ramah dengan sangat membantu transaksi,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,"bersih dan rapih, pelayanan cukup memuaskan.,",2
Bank Mandiri KCP Jakarta Sukapura,5,oke,2
Bank Mandiri KCP Jakarta Sukapura,5,"waktu saya datang ke mandiri sukapura saya datang langsung di sambut dengan baik apalagi customer servicenya ibu tenri pelayanannya baik+penjelasan perihal ganti kartu sangat detail,pokonya mantapps lah",2
Bank Mandiri KCP Jakarta Sukapura,5,pelayananya good teller ramah,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,pelayanan nya good,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sukapura,5,sangat puas dengan pelayanan yang diberikan.,2
