Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,security pak masruri melayani saya dengan sangat baik dan membantu sekali.,2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,banking hall nyaman dan bersih,2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,tempatnya nyaman,2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,"bagus, nyaman bersih rapi kok",2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,"tempat nyaman , pelayanan cukup puas",2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,"satpam nya enak, teller dan cs nya ramah",2
Bank Mandiri KCP Jakarta Sunter Agung Utara,1,pelayanan nya lama padahal sepi,0
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,ramah,2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,temannya luar biasa pelayanannya,2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,pelayanan nya sangat baik dan nyaman,2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,pelayananya ramah tempatya nyaman,2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,"tempatnya sangat nyaman, security sangat ramah dan sopan, teller dan cs sangat baik dan cepat dalam pelayanannya. rekomended untuk bank mandiri di wilayah sunter",2
Bank Mandiri KCP Jakarta Sunter Agung Utara,5,"tempatnya stategis, dekat dari mana mana, aksesnya juga gampang. pelayanannya juga cepat. terima kasih mandiri.",2
