Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Sunter Paradise,5,apakah hari ini buka,2
Bank Mandiri KCP Jakarta Sunter Paradise,3,"mau tanya,,ini bank mandiri 102 atau bukan? soalnya saya mau kartu atm.",1
Bank Mandiri KCP Jakarta Sunter Paradise,5,nyaman dan pelayanannya baik,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,maaf kak apa bisa nangani kartu terblokir,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,"teller nya ramah"" dan lucu""",2
Bank Mandiri KCP Jakarta Sunter Paradise,5,pelayan baik.ramah..tempat terjangkau,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,tellernya ramah dan terkesan akrab,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,baik,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,pelayanan cs dan teller sangat memuaskan,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,pelayanan cs sangat memuaskan dan pelayanan security bagus,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,"selama saya bertransaksi di bank mandiri cabang sunter paradise, sangat dibantu ramah frontliner nya dan sangat memberi solusi trx",2
Bank Mandiri KCP Jakarta Sunter Paradise,5,tellernya helpful,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,pelayanan cepat ramah,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,teler paten,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,"pelayanan sudah baik, pertahankan dan tingkatkan lagi terima kasih",2
Bank Mandiri KCP Jakarta Sunter Paradise,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,securtity dan cs nya semua ramah,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,"pelayanannya bagus, mas-mas dan mba-mba nya ramah",2
Bank Mandiri KCP Jakarta Sunter Paradise,5,"mandiri sunter paradise pelayanannya cepat, tellernya ramah, pak yulius super baik dan ramah",2
Bank Mandiri KCP Jakarta Sunter Paradise,5,tellernya gercep,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,untuk penggantia kartu mulah di bantu sama seperti keamanan-nya ramah.,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,"pelayanan ramah, cepat dan baik. top mandiri paradise",2
Bank Mandiri KCP Jakarta Sunter Paradise,5,"cs & teller, keamanan ramah & membantu..banking hall yaman",2
Bank Mandiri KCP Jakarta Sunter Paradise,5,ramah securitynya,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,"telle, cs, security semua front liner pelayanan ok. thx lu mandiri",2
Bank Mandiri KCP Jakarta Sunter Paradise,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,cs teller security pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,"pelayanan bagus, cepat dan mbak mbak manis jadi betah deh",2
Bank Mandiri KCP Jakarta Sunter Paradise,5,"pelayan nan nya baik,orang nya ramah",2
Bank Mandiri KCP Jakarta Sunter Paradise,5,palayananya sangat-sangat baik,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,pelayanannya oke. semua karyawannya ramah dan cepat tanggap. thanks bank mandiri sunter paradise,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,"layanannya cepat dan ramah, semua petugasnya baik",2
Bank Mandiri KCP Jakarta Sunter Paradise,5,pelayanannya cepat dan ramah,2
Bank Mandiri KCP Jakarta Sunter Paradise,5,pelayan cepat dan petugas ramah,2
Bank Mandiri KCP Jakarta Sunter Paradise,1,"sangat kecewa, pelayanan buruk dan lambat.",0
