Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Sunter Permai,5,sangat ramah baik,2
Bank Mandiri KCP Jakarta Sunter Permai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Permai,5,bisa di bantu untuk cek kartu atm terimakaasih,2
Bank Mandiri KCP Jakarta Sunter Permai,5,alhamdulilah bisa di bantu untuk buka rek terimakali pak,2
Bank Mandiri KCP Jakarta Sunter Permai,5,pelayanan nya ramah. tempatnya rapi,2
Bank Mandiri KCP Jakarta Sunter Permai,5,pelayanan ya sangat bagus,2
Bank Mandiri KCP Jakarta Sunter Permai,5,cpat cetak kartu nya terimakasih pak,2
Bank Mandiri KCP Jakarta Sunter Permai,5,"pelayanannya ramah , bapak nya sangat membantu.",2
Bank Mandiri KCP Jakarta Sunter Permai,5,"teller nya ramah, sopan,ramah dan dikasih solusi buat transaksi di livin atau di atm juga,, top best for teller",2
Bank Mandiri KCP Jakarta Sunter Permai,5,"tellernya baik dan super gesit, antrian panjang tetap dilayanin dengan baik",2
Bank Mandiri KCP Jakarta Sunter Permai,5,pelayanannya sangat memuaskan,2
Bank Mandiri KCP Jakarta Sunter Permai,5,ramah tamah semua pegawai nya dari kelas bawah sampai tertinggi keren punya kualitas nya ..,2
Bank Mandiri KCP Jakarta Sunter Permai,5,"pelayanan yang saya dapat sangat baik, tadi setor duit ke teller, teller nya ramah dan sopan.",2
Bank Mandiri KCP Jakarta Sunter Permai,5,teller nya sangat informatif & gercep,2
Bank Mandiri KCP Jakarta Sunter Permai,5,"teller sangat membantu, dan ramah.. meskipun setoran sedikit tidak di beda bedakan",2
Bank Mandiri KCP Jakarta Sunter Permai,5,bisa di bantu terim,2
Bank Mandiri KCP Jakarta Sunter Permai,5,terimakasih sudah di bantu setor tunai nya oleh petugas,2
Bank Mandiri KCP Jakarta Sunter Permai,5,aman dan ramah,2
Bank Mandiri KCP Jakarta Sunter Permai,5,bisa di batu untuk buka rek nya terimakasih,2
Bank Mandiri KCP Jakarta Sunter Permai,5,sangat terbantu untuk baka rek terimakisih pak,2
Bank Mandiri KCP Jakarta Sunter Permai,5,asik,2
Bank Mandiri KCP Jakarta Sunter Permai,5,memuaskan,2
Bank Mandiri KCP Jakarta Sunter Permai,5,bagus,2
Bank Mandiri KCP Jakarta Sunter Permai,5,"oke, pelayanan ya",2
Bank Mandiri KCP Jakarta Sunter Permai,5,pelayanan nya ramah dan asik,2
Bank Mandiri KCP Jakarta Sunter Permai,5,"dilayani dengan baik, ramah, asik",2
Bank Mandiri KCP Jakarta Sunter Permai,2,"baru saja dari sini buat print bulu rekening doang. saya antri diluar line karena yang di dalem tulisannya setor >25jt. selama saya nunggu, masuklah 2 orang bergantian ke dalam line itu. semua teller sudah melihat saya sejak awal berdiri, tapi enggak",0
Bank Mandiri KCP Jakarta Sunter Permai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Permai,5,keamanan rapi pelayan okeh,2
Bank Mandiri KCP Jakarta Sunter Permai,5,gila habis,2
Bank Mandiri KCP Jakarta Sunter Permai,5,"orangnya ramah"" dan cantik""",2
Bank Mandiri KCP Jakarta Sunter Permai,5,tempatnya rapi dan asik,2
Bank Mandiri KCP Jakarta Sunter Permai,5,pelayannannya cepat tanggap,2
Bank Mandiri KCP Jakarta Sunter Permai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Permai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Permai,5,"pelayanan terbaki, mukah dipaami",2
Bank Mandiri KCP Jakarta Sunter Permai,5,"bisa pencairan kur , petugas nya ramah rekomended",2
Bank Mandiri KCP Jakarta Sunter Permai,5,sangat baik,2
Bank Mandiri KCP Jakarta Sunter Permai,5,cs nya cantik,2
Bank Mandiri KCP Jakarta Sunter Permai,5,pelayanan nya sangat bagus,2
Bank Mandiri KCP Jakarta Sunter Permai,5,customer nya ramah dan baik,2
Bank Mandiri KCP Jakarta Sunter Permai,5,"sangat helpfull w/ ibu zikrina. thanks a lot bu, super cepat penanganannya.",2
Bank Mandiri KCP Jakarta Sunter Permai,5,mantap,2
Bank Mandiri KCP Jakarta Sunter Permai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sunter Permai,5,sangat puas dengan pelayanan yang diberikan.,2
