Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Suprapto,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Suprapto,5,sangat bagus dan ramah,2
Bank Mandiri KCP Jakarta Suprapto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suprapto,5,baik cs nya atas nama dhea tasya putri terima kasih kak,2
Bank Mandiri KCP Jakarta Suprapto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suprapto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suprapto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suprapto,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Suprapto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suprapto,5,pelayanan baik san eamah,2
Bank Mandiri KCP Jakarta Suprapto,5,"teller fast respon,teliti dan sopan ..",2
Bank Mandiri KCP Jakarta Suprapto,5,pelayanan terbaik cepat,2
Bank Mandiri KCP Jakarta Suprapto,5,mantap layanan murah senyum . dan cepat,2
Bank Mandiri KCP Jakarta Suprapto,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Suprapto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suprapto,5,"salah satu referensi bank mandiri di area cempaka putih, tepatnya di jalan letjend suprapto yang pelayanan ramah, edukatif serta interaktif terima kasih bank mandiri cabang suprapto",2
Bank Mandiri KCP Jakarta Suprapto,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Suprapto,5,"pelayanan asik ramah enjoy , terima kasih ya mbak",2
Bank Mandiri KCP Jakarta Suprapto,5,oke,2
Bank Mandiri KCP Jakarta Suprapto,5,cs (@dheatasyaputri) ramah dan gercep.. datang deh mepet jam tutup tapi tetap saja dilayani dengan senyum..,2
Bank Mandiri KCP Jakarta Suprapto,5,sangat membantu dan ramah,2
Bank Mandiri KCP Jakarta Suprapto,5,sangat baik,2
Bank Mandiri KCP Jakarta Suprapto,5,sangat puas dengan pelayanan yang diberikan.,2
