Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Suryopranoto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suryopranoto,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Suryopranoto,1,"maaf saya sedikit kecewa dengan pelayanan taller, saya ditawarkan tabungan rencana, maunya saya nominal 500.0 itu dibikin 1 tabungan tapi ada oknum yang bikin saya kecewa, tabungan itu terpisah menjadi 5 tabungan dan itu merugikan saya,",0
Bank Mandiri KCP Jakarta Suryopranoto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suryopranoto,5,"the staff is very nice, tapi sayangnya pas buka rekening jadi lama, soalnya computernya berulang kali error.",2
Bank Mandiri KCP Jakarta Suryopranoto,5,baik layanan arif kureniawan,2
Bank Mandiri KCP Jakarta Suryopranoto,5,thankyou di bantu cepat pelayanan mas arief,2
Bank Mandiri KCP Jakarta Suryopranoto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suryopranoto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suryopranoto,5,sangat baik,2
Bank Mandiri KCP Jakarta Suryopranoto,5,bagus,2
Bank Mandiri KCP Jakarta Suryopranoto,5,"cabang terbaik, pelayanan cepat tidak menunggu terlalu lama.",2
Bank Mandiri KCP Jakarta Suryopranoto,5,layanan besar,2
Bank Mandiri KCP Jakarta Suryopranoto,5,sebagai nasabah pelayanan nya top banget rekomendasi untuk anak muda atau orang tua yang ingin membuka tabungan atau rekening di bank mandiri semoga kedepannya semakin gemilang dan pelayanan nya tambah mantapp!,2
Bank Mandiri KCP Jakarta Suryopranoto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suryopranoto,5,"terima kasih atas pelayanan, pelayanan memuaskan terima kasih untuk wulan dan amanda",2
Bank Mandiri KCP Jakarta Suryopranoto,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Suryopranoto,5,cs suryo mbak vera dan mbak tutik sangat membantu!,2
Bank Mandiri KCP Jakarta Suryopranoto,5,"bersih rapi wangi , ramah ,cepat , terbaik",2
Bank Mandiri KCP Jakarta Suryopranoto,5,"customer service dan telle nya ramah, transaksi cepat dan ruangan nya nyaman",2
Bank Mandiri KCP Jakarta Suryopranoto,5,pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Suryopranoto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suryopranoto,5,semua staf membantu!,2
Bank Mandiri KCP Jakarta Suryopranoto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suryopranoto,5,pelayanan terbaik yang pernh saya datengin,2
Bank Mandiri KCP Jakarta Suryopranoto,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Suryopranoto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Suryopranoto,5,pelayanan nya baik dan sangat ramah,2
Bank Mandiri KCP Jakarta Suryopranoto,5,cs nya sangat ramah dan helpfull,2
Bank Mandiri KCP Jakarta Suryopranoto,5,"service teller nya ok, ramah, transaksi nya cepat banget, mantap",2
Bank Mandiri KCP Jakarta Suryopranoto,5,"transaksi cepat, teller dan customer service ramah",2
Bank Mandiri KCP Jakarta Suryopranoto,5,pelayanan nya cepat dan staff nya ramah,2
Bank Mandiri KCP Jakarta Suryopranoto,5,"kantor cabang mandiri yang ok. pelayanan cepat dan tepat saat mengatasi kendala customer, sangat rekomendasi bagi anda yang terdapat kendala ingin dikerjakan secara cepat dan tepat.",2
Bank Mandiri KCP Jakarta Suryopranoto,5,sangat baik pelayanannya,2
Bank Mandiri KCP Jakarta Suryopranoto,5,sangat puas dengan pelayanan yang diberikan.,2
