Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Taman Aries,5,"pelayanannya baik, cepat, ramah.. keep up the good work!",2
Bank Mandiri KCP Jakarta Taman Aries,5,"pegawai nya ramah ramah, kantor nya juga bersih terima kasih",2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanannya bagus cepat sekali,2
Bank Mandiri KCP Jakarta Taman Aries,5,layanannya cepat karyawannya baik semua membantu,2
Bank Mandiri KCP Jakarta Taman Aries,5,"sangat membantu sekali ,,terimakasih bank mandiri",2
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Taman Aries,5,terima kasih ya pelayanan sangat ramah baik-baik lagi kalau untuk yang lain jangan ragu kesini ya mau urus apa saja pokoknya enggak bakal nyesal,2
Bank Mandiri KCP Jakarta Taman Aries,5,selalu cepat pelayanan tellernya.,2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,"pelayanan cepatt, ramah juga",2
Bank Mandiri KCP Jakarta Taman Aries,5,ramah staf dan sekuriti nya good,2
Bank Mandiri KCP Jakarta Taman Aries,5,servicenya baik dan cepat,2
Bank Mandiri KCP Jakarta Taman Aries,5,"keren keren, pelayanananna baik, asik, dan ramah.",2
Bank Mandiri KCP Jakarta Taman Aries,5,terbantu selalu setiap transaksi di cabang bank mandiri taman aries .,2
Bank Mandiri KCP Jakarta Taman Aries,5,mantap layanannya baru ganti atm.,2
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanan ramah dan oke,2
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanan jempolan,2
Bank Mandiri KCP Jakarta Taman Aries,5,"pelayanan ramah dan baik mbak diah dan mbak putri, suasana yaman dan mersih",2
Bank Mandiri KCP Jakarta Taman Aries,5,layanan yang baik dan kualitas yang direkomendasikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,"pelayanan nya oke banget,bersih",2
Bank Mandiri KCP Jakarta Taman Aries,5,"pelayanan nya bagus,cepet",2
Bank Mandiri KCP Jakarta Taman Aries,5,layanan ok,2
Bank Mandiri KCP Jakarta Taman Aries,5,"pelayanannya oke, bu diah sangat helpful banget.",2
Bank Mandiri KCP Jakarta Taman Aries,5,mantap pelayanan cepat,2
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Taman Aries,5,"pelayanan yang cepat dan staff yang ramah, best banget deh bank mandiri taman aries dan pertahankan selalu pelayanannya.",2
Bank Mandiri KCP Jakarta Taman Aries,5,dilayani dengan baik,2
Bank Mandiri KCP Jakarta Taman Aries,5,bumbukaan rekening mandiri pelayanya sangat baik,2
Bank Mandiri KCP Jakarta Taman Aries,5,mantap,2
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Taman Aries,5,"peayanan baguus, pegawainya membantu",2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat baik dan ramah serta cepat,2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanan cs nya baik & ramahh sekali,2
Bank Mandiri KCP Jakarta Taman Aries,5,"layanan mantap, sangat cepat",2
Bank Mandiri KCP Jakarta Taman Aries,5,"parkiran luas, karyawan ramah-ramah, securitynya asik2. sat set beres",2
Bank Mandiri KCP Jakarta Taman Aries,5,caesar anak baru,2
Bank Mandiri KCP Jakarta Taman Aries,5,good layanan terbaik,2
Bank Mandiri KCP Jakarta Taman Aries,5,"staff nya ramah ramah, dan pelayanannya cepat, pokok nya the best lah",2
Bank Mandiri KCP Jakarta Taman Aries,5,the best mandiri taman aries sukses selalu,2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,"pelayanannya bagus , ramah dan cepat juga sangat membantu sekali",2
Bank Mandiri KCP Jakarta Taman Aries,5,"karyawannya ramah2, transakai cepat, security nya baik dan murah senyum",2
Bank Mandiri KCP Jakarta Taman Aries,1,"antrian umum lama banget! karyawan jutek"". enggak ada senyumnya sama sekali. satpam enggak ada di depan pintu. bingung mau transaksi enggak ada arahan. sedang transaksi diselak sama yang dibelakang & enggak ada permintaan maaf dari staff! cape"" mengantri panjang! malah diselak!",0
Bank Mandiri KCP Jakarta Taman Aries,5,bersih rapi ramah yang terbaik,2
Bank Mandiri KCP Jakarta Taman Aries,5,all good,2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,karyawannya ramah,2
Bank Mandiri KCP Jakarta Taman Aries,5,"okee , pelayanan bagus dan tidak mengecewakan.",2
Bank Mandiri KCP Jakarta Taman Aries,5,pemuyan ya bagous,2
Bank Mandiri KCP Jakarta Taman Aries,5,"sangat bagus, dan memuaskan.",2
Bank Mandiri KCP Jakarta Taman Aries,5,"mantap transaksi di cabang taman aries. pelayanan nya baik,staff nya ramah-ramah, asik pokoknya",2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,"buka rekening enggak perlu datang ke bank nya, bank yang datang ke ktr karena jarak nya deket, tengkyu bank mandiri taman aries",2
Bank Mandiri KCP Jakarta Taman Aries,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Taman Aries,5,respon cepat,2
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanan tellernya sangat baik sekali dan sangat ramah,2
Bank Mandiri KCP Jakarta Taman Aries,5,teler nya cantik,2
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Taman Aries,5,ok,2
Bank Mandiri KCP Jakarta Taman Aries,5,pelayanannya terbaik,2
