Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Taman Duta Mas,5,bintang 5 berbicara,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,ramah staf,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,ramah stafnya,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,ramah tongkat,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,ramah tongkat,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,ramah tongkat,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,staff ramah dan pelayanannya ok,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,staff ramah dan pelayanannya bagus,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,cepat respon,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanan bagus dan staff ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanan dan staff nya ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanan dan staff nya ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanan bagus dan staffnya ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,1,"baru tau ini,antri bank bisa ditinggal"". mentang-mentang pakai baju biasa enggak dilayani sesuai antrian,tp yang pakai baju bagus didulukan. pelayanan macam apa",0
Bank Mandiri KCP Jakarta Taman Duta Mas,5,staf nya ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pegawainya ramah2,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanan ramah. bersih. informatif,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,rama saya suka,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,layanannya bagus,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanannya bagus dan staff nya ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanannya cepat dan staff nya ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,"nice bank, pelayanannya mantap top",2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,staff nya ramah2,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,staff nya ramah2,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,"pelayanan nya sangat bagus tempat nya juga bersih cs,teller baik lainya staf nya sangat ramah"",",2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,"alhamdulilah terbantu bangat,dengan adanya bank mandiri dekat tempat tinggal saya, dari awal masuk di sapa oleh security dengan ramah, dan di arahkan ke cs nya, begitu pun cs nya mengatasi permasalahan saya yang kurang di mengerti oleh saya, terimakasih bank mandiri taman duta mas,",2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,cs nya ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,peleyanan baik security ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Taman Duta Mas,1,pelayanan bank terparah. cs nya berasa dia paling penting saja. tidak menghargai nasabah,0
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanan nya sangan memuaskan. bikin hati jadi senang.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,mantap pelayanannya,2
Bank Mandiri KCP Jakarta Taman Duta Mas,2,"ada satpam nya tapi masih ada parkir liar kocak, mana kayak jelangkung tukang parkir nya giliran datang kagak ada pas mau pergi baru muncul",0
Bank Mandiri KCP Jakarta Taman Duta Mas,5,mantap pelayanannya,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,mantap pelayanannya,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,mantap pelayanannya dan staff nya ramah2,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanan nya bagus gedung bersih,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,pelayanan yang cepat dan staf - staf yang ramah serta solutif,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,"untuk pelayanan dan tempatnya bagus banget. cuma enggak mengerti sama kang parkir disitu. saya parkir motor enggak sampai 3 menit pas mau keluar saya kasih 500 kang parkirnya nyolot, dia enggak terima harusnya 20 katanya. lah sejak kapan parkir liar di",2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,teller ramah.. terimakasih,2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,"pelayanannya sangat ramah staff cabang juga sigapp terutama cs, teller dan security pelayanannya cepat.. sukses tdm",2
Bank Mandiri KCP Jakarta Taman Duta Mas,5,"pelayanan nya cepat banget, mengurus atm hilang secepet itu enggak , terimakasih pak gue selaku customer servis sukses selalu",2
