Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"tempatnya nyaman, pelayanan cepat dan ramah, sangat membantu.",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,semua staff nya ramah-ramah,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"tempatnya nyaman,pelayanan oke dan petugasnya ramah2, sip pokoknya",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,the best,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan sangat ramah dan baik sekali,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,suka sama pelayanan nya ramah2,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"pelayanannya ramah dan cepat, top banget!",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan yang super ramah,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"pelayanannya bagus, teller, cs dan satpamnya ramah banget",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"pelayanan ramah sama mbak nieke, nyaman dan tempatnya bersih",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"bersih, luas dan wangi. pegawai nya juga ramah dan cekatan. terimakasih bank mandiri tim",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"transaksi ke cs, ramah dan cepat",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,cepat satset pelayanannya. rekomend,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan di cabang tim sangat bagus dan ramah,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,customer service sangat membantu dan memuaskan. bersama mbak nieke,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"the best pelayanan bank mandiri kcp tim. staf teller, cs, satpam, back office dari dulu sampai sekarang selalu gerak cepat. sukses selalu! jaya kayak raya! muehehehehe",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"cabang mandiri paling asik menurutku, pelayananya ramah dan cepatt",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,nyata.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan nya baik dan ramah,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,sangat ramah dan tempatnya nyaman,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,1,"kantor besar, cs cuma 1. parah",0
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,1,"lelet banget memang enggak ada pegawai nya ya?? mengantri sampai berjam"" lho. apa karena orang yang nyetor uang banyak di duluan in. giliran uang yang enggak banyak di setor di belakangin!! heran amat",0
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,excekents service.mantan. oleh security yang sangat profesional. maju terus mandiri[darul ariwibowo],2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,1,ada yang buka enggak ya mandiri hari ini,0
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanannya terbaik,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"pelayana baik, cs nya ramah",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"pelayanan di cabang ini bagus, security , cs dan teller juga ramah""",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"bank terbaikk, pelayanan ramah, transaksi cepat",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"tellernya ramah, mau banyak tanya juga dijelaskan dengan detail dan sabar kalo enggak salah namanya mbak arlen. terima kasih mbak arlen, berkat penjelasannya saya jadi merasa aman untuk bertransaksi. tempatnya juga bersih.",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"pengalaman transaksi di tim, tellernya baik, ramah dan komunikatif. sedikit saran buat cabang mandiri tim kalo bisa tellernya membanyaki biar enggak ada load antrian yang lama. soalnya transaksi nya banyak",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"pelayanan di cabang ini sangat baik, tellernya ramah-ramah, pengalaman dilayani sama mbak arlen dijelasin sampai mengerti produknya dengan sangat baik dan sabar",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,tempatnya bersihh dan pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan teller baik dan puassekali untuk pelayanannya,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,besar!,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,1,"bank mandiri cabang paling jelek dan paling tisak ramah, lebih baik jangan pernas ke tempat inni, sangat diakakan.",0
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,transaksi di sini ok,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,1,saran jangan pakai mandiri pelayanan lama,0
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan baik. terima kasih,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"baguss, pelayanan ramaahh sekali, pasti bakal kesini lagi nanti",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan bagus dan meyakinkan,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,satpam nya ramah pelayanan ok..,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanannya sangat membantu bagi saya dan mungkin untuk nasabah lain yang membutuhkan informasi,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan yang bagus,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"pelayanan cepat, transaksi mudah, cs dan teller ramah,satpam responsif dan sangat membantu",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,amanyaman,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan baik. security / satpam ramah & cekatan.. lanjutkan,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,4,"alhamdulillah pelayanan baik, di sambut dengan satpam yang ramah dan di arahkan sesuai kendala yang ada",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,karyawannya ramah dan responsif. semoga terus dipertahankan keramahannya. mantaapp,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanan cepat nyaman,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"palayanannya keren, satpamnya ramah dan fast respon. tellernya juga baik. semangat terus tim untuk memberikan pelayanan terbaik",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"pelayanan nya baik, tempatya juga nyaman..",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,pelayanannya oke disini satpamnya juga baik dan ramah sekali. top!,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,1,kapok. satpam sama cs enggak jelas. yang kenal yang diduluin. kc paling menjijikan,0
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,1,"sangat lama pelayanannya sangat jelek pelayanan yang lama harus menunggu sampai berjam jam dan tidak ada kejelasan antrian, tidak sigap gesit, tidak membantu costumer",0
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"jujur pelayanannya cepet, enggak banyak syaratnya, gampang, transaksinya mudah dan solutif. terimakasih untuk mandiri kc taman ismail marzuki",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,3,counter nya terkenal. lama. padahal banyak orang nya..,1
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"teller nya cepat, baik, cantik, manis",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"pegawainya ramah2 , kerjanya cepat . trimakasih untuk teller arlentina, trimakasih atas pelayanannya maju terus untuk bank mandiri",2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,baru masuk di sambut satpam ramah banget ngejelasinnya enak enggak kayak di cabang lain. terus ke cs masyaallah csnya juga baik dan ramah banget . terimakasih sudah di bantu hari ini,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,dekat kantor. pelayanan ramah. dari petugas keamanan sampai teller dan customer service humble dan informatif.,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,1,cso mempersulit nasabah!,0
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,beragam budaya ada disini.wow keren,2
Bank Mandiri KCP Jakarta Taman Ismail Marzuki,5,"teller nya ramah ramah,,semua kebutuhan terpenuhi,cekatan,cantik",2
