Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,tadi sekitar jam 10 an saya ada keperluan..dilayani dengan baik oleh mbak poppy (cs)..alhamdulillaah ..pelayanan cepat..dan ramah..,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,lokasi strategis. karyawan ramah2,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,1,"mau parkir tapi ditutup plang besi mana mau orang parkir mindahin plangnya dlu, yang bikin kacau mengantri teller ampir 2 jam z very bad lah",0
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,1,"antrian panjang, teller cuma 1. 2 nganggur",0
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,cs nya asik2 n ramah cantik pula terima kasih pelayanan nya,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,"tellernya sopan, dan baik-baik semua cs nya juga sama baik-baik semua dan penyampaian pesan bagus dan jelas",2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,pelayanan customer service nya baik sigap sopan teller nya juga sigap. lokasi strategis,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,sip,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,"pelayanan teller dan cs nya ok banget,satpamnya sigap",2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,sangat membantu,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,pelayanan yang sangat baik,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,pelayanannya baik dan cepat,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,karyawannya ramah2,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,"terimakasih atas pelayanan yang diberikan dengan tepat, cepat dan akurat",2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,1,pelayanan lambat teller banyak yang enggak buka atau tutup cs yang antri enggak ada tempat duduk. ada sih tapi cuma 2 aduh tolong di perbaiki lagi,0
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,"tempatnya nyaman, pelayanannya super amat cepat dan baik.. terimakasih cabang jakarta taman kebon jeruk, semangat terus ya..",2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,"teller, cs sangat ramah dan cekatan. i like.",2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,3,"security ramah. cs hanya 2 orang dari 6 meja cs yang ada. saat datang tidak ada antrian dan cs tidak sedang melayani nasabah namun nomor antrian tidak dipanggil2. kedua cs terlihat saling mengobrol, kemudian 1 cs menelepon sekitar 15-20menit",1
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,pelayanannya ramah dan baik,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Kebon Jeruk,5,"teler ramah"" n pelayanana mantap poll",2
