Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,trimakasih cs ramah,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,semangat terus kakakk,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,pelayanan cepat banget,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,buka rek cepat banget trimakasih mandiri,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,terimakasih kakak cantik,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,mandiri bagus banget pelayanannya,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,bagus,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,good job,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,good,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,lokasinya di dekat reddog dekat pitu masuk mobil yang sebelum masuk tmii. karena masuknya agak kedalem mungkin orang yang jarang kesini enggak sadar ada kcp nya.,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,ok,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,ok,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,terimakasih cs,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,terima kasih,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,good,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,trimakasih,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,good,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,ok,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,mantap,2
Bank Mandiri KCP Jakarta Taman Mini Indonesia Indah,5,mantap,2
