Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,cs mbak desi baik menjelasakan dan membantu jelas baik,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,ganti pin di atm dan register hp cepat .. dibantu pak suntoyo,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,1,"rekomendasi gak,",0
Bank Mandiri KCP Jakarta Taman Palem Lestari,1,"padahal sudah lunas cicilan tapi ngambil bpkb keluarnya lama,,bilangnya 14 hari krja tapi sudah 1 bulan,,blum juga",0
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,"banking hallnya bagus dan rapih, pelayanannya pun edukatif",2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,"pelayanan bagus, mau cetak kartu di bantu security satset",2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,pelayanan sudah memuaskan,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,dari security sd semua staff ramah dan the best banget,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,pelayanan nya terbaik,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,"atm nya bersih, nyaman, pengin lama-lama disini beduaan sama sih ayang",2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,"cabang bersih, pelayanannya juga ramah serta transaksi cepat.",2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,"pelayanan nya baguss, tanggapan nya cepat. thank bank mandiri",2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,servisnya baik,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,mantqp keamanan,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat ramah dan nyaman untuk semua yang berkecimpung di sini,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,terima kasih pak security pak suntoyo atas bantuannya penggantian kartu atm saya cepat banget cuma 1 menit sudah ganti kartu baru.tks,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,ganti kartu cepat tampa ribet,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,pegawai dan satpamnya ramah banget,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,ganti kartu sama scurity,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,gantinkar tubu cepat dibantu security,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,cetak kartu bisa langsung ke security mantap,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,kartu bisa langsung dimesin dan dibantu oleh pihak security dengan pelayanan yang ramah dan baik,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,"cetak kartu bisa di mesin dan security baik"" mau membantu, terima kasih bank mandiri cabang taman palem lestari",2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,buka rekening cetak atm cukup security,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,pelayanannya cepat dibantu bpk securitynya,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,ganti kartu cepat banget woi! security nya ramah dan sangat membantu thank you mandiri !,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,ganti kartu atm bisa di mesin di bantu bapak security .ok,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,ganti kartu sudah sangat mumah lewat atm sama scurity.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,buka rekening tidak perlu ke cs. cukup sekuriti,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,"ganti kartu atm yang hilang, bikin baru di bantu oleh security proses nya jadi cepan / mudah.trimakasih pak security",2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,good,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,mantap pelayanan cepat enggak ribet,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,"allhamdullilah pembuatan rekning nya sangat simple dan mudah dan pelayanan friendly dan ramah sangat membantu, mandiri mantap dan sukses selalu",2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,pelayanan bagus dan cepat,2
Bank Mandiri KCP Jakarta Taman Palem Lestari,5,pelayanan baik,2
