Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP JakartaTaman Permata Buana,5,"pelayanan oke, cs nya ramah",2
Bank Mandiri KCP JakartaTaman Permata Buana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,pelayanan teller ramah dan sangat membantu,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,semuanya petugas sangat ramah,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,ruangan atm nya nyaman dan mesin atm nya sudah bagus,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,pelayanan nya mantul,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,cabang nya nyaman petugas nya ramah2,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,"pelayanannya baik, ramah, dan cepat. pelayanan setor tunai di kcp permata buana, jakarta barat",2
Bank Mandiri KCP JakartaTaman Permata Buana,5,pelayanan nya mantap,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JakartaTaman Permata Buana,5,pelayanan nya sangat baik security nya sopan dan rapi,2
