Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanan nya cepat dan enggak ribet, castmoer servis ya ramah dan sabar",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanan ramah,baik hati dan tidak sombong",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,masalah layanan oke,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanannya bagus tellernya ramah, ruangannya bersih wangi acnya panas",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan sangat ramah dan baik,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,terbaik,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan cs ramah dan baik,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,layanan nya bagus dan cepat,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,cs ramah,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,layanan cs ramah membantu,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,oke.pelayanan ramah dan baik.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,cs ramah,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,proses cepat.. teller ramah.. terima kasih banyak,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan cs ramah dan cepat,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan cs bagus,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pegawai nya ramah. cs dan satpamnya baik,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanannya cepet, staf nya ramah",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,teller layanan yang baik,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,ramah murah senyum,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"teller nya ramah sekali dan senyum nya maniss, top markotopp taman permata indah",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"tempatnya bersih , staff nya ramah.",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan yang baik dan cepat,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"karyawan ramah, sopan dan profesional",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanan nya memuaskan, cepat tanggap keluhan nasabah.",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat membantu sekali,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan nya ramah dan cepat,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanannya bagus n cepat.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan di teller memuaskan,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"keren banget pelayanannya, cepat tanggap",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,kantornya bersih & wangi pelayanannya ok bgt. satpamnya ramah obnya gesit,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,teller ramah dan cepat mantap,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"teller baik dan cantik,",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"layanan ramah,baik n cepat",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanannya baik dan cepat,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pegawai responsif, ramah dan cekatan, tingkatkan terus pelayanannya",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan sangat baik dan petugasnya helpfull serta ramah,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan sangat baik pegawainya ramah ramah keren deh,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanannya mantap,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"cepat dan tanggap dalam menyelesaikan masala, sangat beempati kepada pelanggan, teler cantik poll <3",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanannya bagus, teller cs security nya ramah semua, good banget deh pokoknya",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan customer service sangat baik. terimakasih,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanannya bagus, informatif dan helpful untuk karyawannya",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,proses kredit kprnya. sangat-sangat cepat dan bunganya sangat murah. terimakasih bank mandiri taman permata indah.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,satpam ramah semua staf ramah cadang bersihh .,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,keren,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,rama2.dan baik.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,1,"pelayanan sangat buruk, tidak professional",0
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanannya cepat banget, orang2nya juga ramah!! mantap",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan cepat dan handal,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,ramah profesional,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanan cepat sat sett, teller nya cantik"", satpamnya ramah sangat bersih",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanan bagus, semua orang cabang ramah",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"lokasinya strategis banget, pelayanannya ok",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanannya baik, cepat, dan ramah semua pegawainya. terima kasih sudah membantu",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanannya baik, ruangan nyaman",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,pelayanan bagus memuaskan. cs sangat membantu,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayanan cepat, sopan, ramah, dan rapi",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,atm bersih,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,"pelayananya oke banget dah, sangat puas sekali",2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,respon cepat,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,orang nya ramah2 murah senyum pelayanan cepat dan informatif,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,cabangnya bersih dan bagus,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,mantulita,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,mantuul pelayanannya yang sangat ramah dan responsif,2
Bank Mandiri KCP Jakarta Taman Permata Indah,5,lingkungan nyaman dan pelayanan sangat baik,2
