Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,dimana ya tempat ya,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,1,"antrian hanya 4 sih, tapi petugas yang jaga tidak ada sense of urgency. yang melayani hanya 2 dari 4 counter. yang melayani pun kerjanya lambat. 4 antrian harus menunggu 1 jam lebih. apa saya yang datangnya di waktu yang salah??",0
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pelayanannya baik dan staf nya ramah ramah. sangat membantu terimakasih,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"pelayanan nya cepat dan tempat nya bersih, pelayan an nya juga ramah dan baik",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,1,ada konter kosong bukannya di isi resepsionis malah di abaikan menuggu terlalu lama dari jam 10 sampai jam 12 siang belum dipanggil juga padahal yang mengantri cuman dikit enggak banyak,0
Bank Mandiri KCP Jakarta Taman Semanan Indah,1,pelayana nya lama banget ..,0
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,mbak anggi bagus pelayanannya,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,1,pelayanan buruk,0
Bank Mandiri KCP Jakarta Taman Semanan Indah,1,pelayanan sangat buruk. datang jam 14.00 tidak diperkenankan masuk karena info dari dalam sangat antri padahal masih jam 2 dan masih buka,0
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,asik dan solid,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pelayanannya cepat & ramah sangat direkomendasikan,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"servicenya mantap, cs nya baik baik, love love",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"ramah, respon cepat, semoga selalu amanah",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"pelayanan super ramah, dan pengurusan administrasi sangat cepat, senang",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,penyayannya baik,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"security nya ramah, cs bu anggi nya ramah n komunikatif, suasana kantor nyaman..",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"sangat puas layanannya,ramah baik",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pelayanan yang ramah dan memuaskan,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"pelayanan baik, cepat",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pelayanan terbaik yang saya dapatkan,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,kakak csnya baik banget,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"baru pertama buka rekening mandiri,pelayanan nya cepat banget ,cs nya ramah dan sangat memuaskan sama pelayanan nya pokoknyaa best banget playananya disini aplagi csnya ibu anggi",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"pelayanan nya cukup bagus ,teller nya mbak ridhia anggi septalina ,bagus banget kerjanya dan cepat serta ramah ,jdi wajib di pertahankan karyawan seperti ini ,sangat membantu konsumen",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,terima kasih,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"pelayanan nya ramah ,, moal gagal pokok namah",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pelayanan sangat ramah dan informatif,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,makasih,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,1,karyawan oke ramah tapi tiap nukar uang kecil yang di kasih kebanyakn sudah sobek kecewa sih soalnya kalau kami nukar uang itu pasti uang yang kami kasih bagus,0
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,tempat nya nyaman security nya ganteng ramah,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"pelayanan bagus, nyaman, bersih, desbest",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,mantap pelayanannya sudah kayak sih biru cs ramah dan satpam baik padahal bank bumn,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,sangat baik dan ramah pelayananya,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pelayanannya terbaik!,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,cabang bersih pelayanan profesional,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,trimakasih untuk cs mbak rindhia anggi septalina sangat membantu saya ..dan sangat rama sekali ..,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pelayanan nya bagus dan ramah,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pengawai bank-nya sangat ramah sekali dan fasilitasnya bagus,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,ramah baik sopan,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,bagus,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pelayanannya bagus. terima kasih ya,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,cs ramah.. terimakasih bank mandiri,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,sangat nyaman dan cepat penanganan di cs,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,pelayanannya baik dan ramah,2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"tempatnya nyaman, di bantu dengan bu anggi dengan ramah dan cepat, terimakasih mandiri taman semanan",2
Bank Mandiri KCP Jakarta Taman Semanan Indah,5,"pegawai ramah, cepat tanggap.",2
