Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Taman Sunter Indah,1,petugas cs cuman 1 22 april 2025 8.40,0
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,pelayanan terbaik semoga rameh,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,"semua pelayanan nya bagus , cs nya sangat membantu",2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,"pelayanan nya cepat,teller dan cs nya ramah,tmpat nya juga nyaman dan adem,terima kasih mandiri tsi",2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,mantap pertahankan,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,membantu sekali terimakasih,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,mantap pelayanan nya. tolong pertahan kan ya. security keren membantu sekali,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,kasirnya ramah kepada semua kalangan nasabah.,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,aman,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,"security yang namanya pak irsyad sangat membantu & cerdas. cs nya luar biasa, teler nya keren",2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,gila enggak ada lawan,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,terbaik,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,"pelayanan oke. banyak hadiah nya semuanya ramah"" , i love you mandiri tsi",2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,pelayanan top markotop,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taman Sunter Indah,1,"lama banget transaksi disini, antrian nya banyak, teller nya cuma satu. tambahkan dong teller nya, meja teller 2, masa manusia nya cuma 1 hadeh time is money",0
