Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Tanjung Duren,5,apakah di cabang ini ada mesin untuk mencetak kartu atm?,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,cs layanan cepat ramah yang berguna,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,customer service mbak amel super ramah.sagat membantu.suka suka,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,mbak amel baik banget servis nya cuakeepp,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,mbak amel mantap servicenya,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"layanan bagus, cs ramah",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"teller nya ramaahh, aku sama mbak amelia andremica, stafnya ramah2, dekat dari rumah, cara pembuatan kartu juga gampangg, trimakasi",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,mbak amel baik banget penjelasannya gampang dicerna dan sangat-sangat informatif.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"kakak nya ramahh dan gercep jugaa, mantapp",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,nuhunn mbak amell semangat,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,cs an ambar sangat membantuu,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,mbak amel nuhun bantuannya the bestt,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan nya ok,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,terimakasih mbak amell mantap,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,terima kasih mbak amel servis bagus .,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan bagus dan ruangan bersih nyaman,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"pelayananannya baik, cs ramah",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"pelayanan ramah dan cepat , terima kasih bank mandiri",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,cs baik,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,terima kasih sudah di bantu dengan baik,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pokoknya pelayanan bank mandiri paling the best daripada yang lain,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Tanjung Duren,1,pelayanan mikro jutek,0
Bank Mandiri KCP Jakarta Tanjung Duren,5,semua baik,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,terima kasih sudah di bantu petugas nya ramah,2
Bank Mandiri KCP Jakarta Tanjung Duren,4,puas,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,[ gambar di hlm.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,staff ok,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,ok mantab keren pelayanannya,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,terimakasih sudah melayani dengan baik,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan nya sangat ramah sekali good job the best pokoknya,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanannya ramah dan cepat,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,layanan ya sangat ramah dan tempat nya sangat enak,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,terimakasih,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan cepat dan enggak bikin ribet..,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanannya ok,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,layanan yang baik,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"pelayanannya baik, ramah dan cepat. best banget deh bank mandiri cabang tanjung duren, dekat jajanan juga jadi senang mampir kesini",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,cs nya handal,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,cs handal,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,cs ramah,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan cepat dan akurat,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"pelayanannya bagus sekali, sangat ramah dalam membimbing",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,punya bpkb cair ini saja di sini bisa di bantu sama pak.nardi atau pak.parlip,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pinjaman ksm bisa loh disini tanpa agunan keren,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pengajuan kur di sini bisa di bantu marketing nya ramah supel keren,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,terimakasih sudah di bantu,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,cs cekatan,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,trimakaaih.sdh dibantu..,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,oke sigap,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,fast respon.. mantap,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"pelayanan nya sangat ramah baik dan helpful, mulai dari satpam welcoming sampai ke pelayanan kebutuhan buka rekening sangat baik, terima kasih banyak juga untuk mbak ambar",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,good,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,nice,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,layanannya ramah dan cepat,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"pelayanan nya sangat bagus, cepat dan friendly dengan cs ibu amelia. terima kasih.",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,mbak amel mantap,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,ok,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"pelayanan baik, dan cepat. harus dipertahankan cs. amelia andremica",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,cepat,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,cs ramah,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan nya sangat memuaskan cs & security nya sangat ramah,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,karyawannya semua ramah pelayanannya termasuk satpam dan tellernya,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayananan sangat baik,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanannya bagus baik satpam maupun cs semuanya baik dan ramah,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,excellent,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,servicenya oke,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,mantap,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanannya sangat ramah dan cepat,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan cepat. bintang 5 untuk bank mandiri tanjung duren. ibu sintya sangat membantu dan ramah.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanannya ramah dan cepat,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"cabangnya bersih, pelayanannya cepat",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"baik layanan dari masih amel, terima kasih bank mandiri .",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan sangat cepat,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"kakak2 nya ramah2 , baik-baik , terima kasih bank mandiri tanjung duren",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,penyanyanyanya oke,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,terimakasih sama pak satpamnya sudah di bantu mantap,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,servicenya oke,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"mantap pelayanan nya, karyawan nya juga ramah"" . the best pokoknya",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pegawai nya sangat membantu good service,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,saya buka rekening mandiri karena ada ibu ruspika situmorang the legend. bravo bank mandiri!,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"good job,. pelayanan nya ramah.",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"tellernya the best sih, apa lagi teller yang posisinya ditengah, pelayanannya kayak jalan tol, mulus habiss",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pak parlip sebagai satpam sangat membantu dan informatif top banget,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"layanan yang sangat baik ibu vika, sangat membantu terima kasih",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"pelayanan nya mantul, mantap betul sukses selalu bank mandiri!",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,satset and super helpful mbak vika. terima kasih pelayanannya,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"iboek vika pelayanannya juarak. kayak apotek tutup, enggak ada obat",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanan prima bu vika..sangat membantu kebutuhan pelanggan..,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"sangat ramah dan recommended, membantu sekali konsumen yang trouble. pokoknya mantap top markotop",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanannya cepat dan karyawanya ramah,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,loar biasa,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"transaksi nya selesai semua cukup dengan pak. satpam,",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanannya ramah proses cepat.. pokoknya satsetsatset,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,"sangat baik pelayanan nya, sangat helpful pegawai nya",2
Bank Mandiri KCP Jakarta Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjung Duren,5,pelayanana cepat.,2
