Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,gacor,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,baik,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,"satpam dan staff ramahh, membantu banget ^^ tempatnya bersih, terang, rapi",2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,cs sangat membantu pembuatan rekening secara online,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,4,kartu e money saya retak dan masih ada saldonya apa bisa di cairkan saldonya dan persyaratannya apa aja?,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,3,"cs nya judes,",1
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,layanan bagus,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,layanan puas dan cepat,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,layanan cepatt,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,layanan bagus,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,layanan bagus,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,layanan terbaik memberikan solusi,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,mantap lapan,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,layanan cepat mantap,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,layanan cepat mantap,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,"bank nya nyaman, bersih dan pegawainua ramah",2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,solusi cepat dan tepat keren,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,layanan cepat dan solusi hebat,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,pelayananya cepat dan ramah-ramah petugasnya,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,pelayanan paripurna,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,"rame terus ini cabang tapi selalu konsisten untuk csnya membantu nsb, terima kasih",2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Tanjungpriok Tawes,5,sangat puas dengan pelayanan yang diberikan.,2
