Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,mantab lah ya an cepat dengan me sin csm,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,transaksi nya cepat..pergantian atam dan security nya ramah .pelayanan nya baik..trimaksih,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,layanan nya cepat . gantikanrtu peraktis,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,layanan nyacepat.cs nya membantu.security nya ramah banget,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,layanan nya cepat.. security nya membantu banget,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"layanaan nya cepat security nya membantu banget , lupa pasword nya",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanannya sangat baik dan membantu para nasabah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,buka rek di sini dibantu bpk satpam cepat sekali.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,layanannya nya cepat.. apalagi ada mesin kartu,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,1,kartu debit saya hilang sudah saya blokir lewat call center kesini jauh2 karena cabang nya sudah ada mesin cs machine mau ganti kartu karena livin ke delete terus mau login harus pakai no kartu debit gilaa!! mau masuk saja enggak dibolehin sama,0
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangatmembantunasabah tanpamemandang siapayangdilayani,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,transaksi nya cetpat.. security nya ramah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan yang bagus!,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,buka rek di sini sangat cepat dan di bantu security nya yang ramah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,rama dan menginformasikanif semua staf,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,bank mandiri nya bagus dan rapih. pelayanannya juga baik.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,puas pelayanan allhamdulilah cepat dan di bantu dengan baik cepat,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan yang sangat bang, bang security nya ramah",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,layanan cepat.satpam nya sangat membantu,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,layanan nya cepat..buat rek online,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,1,"jujur disini pelayanannya lemet bgt, disuruh menunggu enggak jelas. enggak ada no antrian sudah menunggu lama akhirnya pulang saking enggak jelasnya cabang ini pelayanannya kurang banget",0
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,1,pelayanan lelet dan pilih2 nasabah karena smart branch,0
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,3,tellernya lama cuma 1 lagi kalo yang lain ok,1
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,layanan yang bagus.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan bagus, cepat dan modern",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan sangat baik dan cepat,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayan bagus, costumer ramah",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan baik, ramah, dan masalah cepat terselesikan",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,4,pelayanannya cepat dan satpamnya ramah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangat membantu dengan adanya mesin csm,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,bank nya bagus sekali sekarang dan ruang atm bagus.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,tempatnya nyaman dan pelayanan bagus apa lagi disambut oleh security yang sigap dalam melayani setiap pertanyaan nasabah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan sangat memuaskan, pegawai nya juga ramah ramah, security nyha sangat membantu sangat membantu banget terimakasih",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan baik dan ramah banget,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan luar biasa, personilnya sangat baik",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanannya mantap luar biasa terutama layanan cs ganti kartu sukses selalu buat bank mandiri,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,terbaik,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan terbaik yang pernah saya dapatkan dari cabang bank mandiri, sukses selalu bank mandiri cabang yos sudarso tanjung priok",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,trimakasih banyak untuk fasilitas ndan pelayanan sangat bagus,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangat bagus,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan sangat nyaman dan ramah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"di sini benar benar ramah, di tangani langsung tanpa nunggu, dan security nya ramah ramah, dan cs nya juga oke, salut baru kali ini warga sipil biasa di layani dengan luar biasa dan setara sama yang lain, posisi sekarang jam 10:09 masih di bank mandiri keren pokoknya sukses terus buat semua mandiri dimana pun berada",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan cepat,dan ramah",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanannya sangat memuaskan. terima kasih,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayananannya sangat memuaskan, para pengawai dan satpam yang ramah",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,segi layanan bagus dan kecepatan nya oke,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"tampilan layout kantor lebih fresh, proses jauh lebih cepat karena semuat sudah proses digital",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pemuyan ya cukup bagous,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"tempat yang bagus, adem, serba digital, layanan yang cepat dan staff yang ramah",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"lokasi strategis, luas kantor cabangnya, semi digital dan nyaman. pelayanan ramah, baik dan solutif",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,cakep!,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"tempatnya nyaman, layanannya bagus. top markotop",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,layanan sngat baik,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan ramah dan nyaman terima kasih mandiri,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,layanan cepat,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"layan bagus, digital dan staf yang ramah",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pengalaman yang baik,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,baik dan ramah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanannya terbaik,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,good,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,ruang atm dan bankighall dan toilet bersih,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,keamanan terbaik.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,kantor cabangnya nyaman dan modern sekali. pelayanan csnya ramah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan baik ,ramah.trims mandiri yus sudarso",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan ramah, dan kantor bersih",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"kantornya bersih, pelayanannya ramah dan cepat.",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,bagus,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan sangat memuaskan, cepat tidak bertele tele",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,excellent,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,service baik staff yang helpful dan ramah tempat nyaman,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan nya bagus, staff nya ramah semua.",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan gb staff yang ramah dan kompeten, suasana yang nyaman, security yang helpful, kayak coffeeshop..",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,design cabang yang modern dan serba digital beda dengan cabang bank lain.. pelayanan yang ramah dan helpful.. terima kasih,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"penyayannya tasus, lingkungannya bersih. tongkat itu ramah -rama semua. sangat baik pokokknyaa..",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan bagus, tempat nya nyaman dan bersih. the best pokoknya",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,ruangan nyaman,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanan nya cepat, satpam dan karyawan nya pada ramah semua",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanannya cepat dan ramah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayananya terbaikk dan ramah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,mantap,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,satpamnya membantu sekali untuk melayani nasabah nya dengan baik. teller dan cs nya juga ramah saat melayani transaksi,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangat membantu,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"tempat nya bagus, pelayanannya juga cepat. sukses terus mandiri",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pleyanan yang profesional, maju terus hidup mandiri ku, unsuk kejayaan indonesia.",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanannya bagus dan karyawannya ramah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,mantap gila mancay,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,terimakasih sangat membantu,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"lebih bagous and maju untuk layanan, tolong membanyaki atm di daerah koja jakarta utara.",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan oke.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,humble,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,memuasakan pelayanannya,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,very nice,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"penanganan sangat ramah baik security maupun petugas nya , mantap",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,tempatnya nyaman dan karyawannya ramah,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanannya bagus.. permasalahan cepat ditangani.. ok,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan yang baik untuk bankir,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,1,jam 08:00 wib belum buka. karyawannya kemana ?,0
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan yang cepat dan ramah di bank mandiri selalu membuat saya merasa nyaman,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"pelayanannya ramah, cepat dan juga baik.",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"cabangnya nyaman, ramah, dan cepat..ganti kartu bisa lewat atm..keren",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,pelayanan nya cepat,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangat baik pelayanannya,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,terima kasih teman teman cabang yos sudarso. cepat dan nyaman,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,3,pelayanan nya kurang bagus lambat banget,1
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,5,"tempatnya nyaman. pelayanannya oke semua, saat kami kemarin kesana. datang disambut satpam. menunggu sebentar, cs keluar membantu urusan kami. masuk ke teller. beres. pelayanan satpam saat ganti kartu juga ramah .semoga semakin oke karena melihat review banyak yang kecewa.",2
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,1,semua karyawannya nya lelet satpam dan cs cuma 1 harus mengantri lama sekali,0
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,3,"pengalaman biasa saja, tidak terlalu buruk tapi juga tidak istimewa.",1
Bank Mandiri KCP Jakarta Tanjungpriok Yos Sudarso,1,"cs cuma 1, antrian dari nomor 4 ke nomor 5, hampir 1 jamparah",0
