Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Taspen,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taspen,5,"as always, service pelayanan staff bank mandiri selalu top. mulai dari security, ob, cs, dan teller semuanya ramah dan sangat membantu. keep up the good work",2
Bank Mandiri KCP Jakarta Taspen,5,terbaik bank mandiri kcp taspen,2
Bank Mandiri KCP Jakarta Taspen,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taspen,5,"pelayanan sangat baik, pegawai nya cantik dan ganteng + rapi rapi .sangat nyaman untuk cabang nya.",2
Bank Mandiri KCP Jakarta Taspen,5,nyaman,2
Bank Mandiri KCP Jakarta Taspen,1,satpamnya yang kecil di bikin ribet. dan kayak calo2 gtuh..biar dia yang ngurus. dan mengatur dan nakut2tin supaya mengurusi dia,0
Bank Mandiri KCP Jakarta Taspen,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taspen,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taspen,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Taspen,1,"terlalu lama menunggu, untuk membuka rekening baru saja sampai 3 jam. perkara menunggu approve atasan.",0
