Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Tebet Barat,1,"pelayanan lama banget. mau ke cs , cuma menunggu 1 antrian, tapi 1 cs ngelayanin customer hampir 1 jam setengah belum juga selesai. cs terlalu lama pelayannya , padahal antrian sudah lumayan banyak . enggak recomend cs disini",0
Bank Mandiri KCP Jakarta Tebet Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Barat,1,tulisan nya open tapi disamperin tutup,0
Bank Mandiri KCP Jakarta Tebet Barat,5,ok,2
Bank Mandiri KCP Jakarta Tebet Barat,5,"selalu konsisten dengan senyum, sapa, salam",2
Bank Mandiri KCP Jakarta Tebet Barat,5,"pelayanan nya bagus , karyawannya ramah ramah ,, tingkatkan terus pelayanan nya bank mandiri tebet barat .",2
Bank Mandiri KCP Jakarta Tebet Barat,5,pasti. pelayanan sangat penting. tingkatkan budaya senyum. ada fulus berjalan dengan mulus tidak ada fulus bisa bisa mampus,2
Bank Mandiri KCP Jakarta Tebet Barat,5,pelayanannya bagus banget,2
Bank Mandiri KCP Jakarta Tebet Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Barat,5,"ramah ramah karyawannya, pelayanannya satset",2
Bank Mandiri KCP Jakarta Tebet Barat,5,"pelayanan sangan terbak,untuk cs teler, dan keamanan nyh terbaik lah",2
Bank Mandiri KCP Jakarta Tebet Barat,5,"tempatnya nyaman, bersih , rapih, karyawannya ramah, dan pelayanannya terbaik",2
Bank Mandiri KCP Jakarta Tebet Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Barat,1,"tolong dong bank sekelas bumn masa karyawannya kurang, nasabah banyak mau transaksi teller yang melayani cuma 1 ya jadinya makan banget waktu. dikira yang mau transaksi orang gabut yang nyantai. tolong diperbaiki sudah banyak loh yang complain kok masih saja enggak ada perbaikan buat pelayanannya",0
Bank Mandiri KCP Jakarta Tebet Barat,1,"enggak bakal lagi kesini buat antre kalo enggak tetpaksa sudah tau yang antre banyak malah ditinggal pergi kasir hanya 1 tadinya 2 , mana masih pagi lagi antre sampai 1 jam lebih. benar-benar mandiri",0
Bank Mandiri KCP Jakarta Tebet Barat,5,ada no wa cs nya enggak ya,2
Bank Mandiri KCP Jakarta Tebet Barat,1,"lama banget pelayanannya, meja cs ada 5 yang available cuma 1-2 cs dan itu juga 1 nasabah bisa lama. tapi bintang 5 buat securitynya gercep dan peduli sesama.",0
Bank Mandiri KCP Jakarta Tebet Barat,5,sangat puas dengan pelayanan yang diberikan.,2
