Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Tebet Timur,5,"pelayanan yang diberikan sangat baik, customer service nya cepat dan ramah. tidak perlu menunggu lama dibantu dengan cepat",2
Bank Mandiri KCP Jakarta Tebet Timur,5,sangat baik,2
Bank Mandiri KCP Jakarta Tebet Timur,5,nyaman dan cepat,2
Bank Mandiri KCP Jakarta Tebet Timur,5,pelayanan sangat baik dibantu oleh costomer service untuk saya pembukaan rekening,2
Bank Mandiri KCP Jakarta Tebet Timur,5,semua baik pelayanan baik sukses selalu,2
Bank Mandiri KCP Jakarta Tebet Timur,5,pelayanan yang diberikan sangat memuaskan. terima kasih ya,2
Bank Mandiri KCP Jakarta Tebet Timur,5,ramah dan baik,2
Bank Mandiri KCP Jakarta Tebet Timur,5,semua baik,2
Bank Mandiri KCP Jakarta Tebet Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Timur,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Tebet Timur,5,cepat,2
Bank Mandiri KCP Jakarta Tebet Timur,5,baik,2
Bank Mandiri KCP Jakarta Tebet Timur,5,"pelayanan sangat baik, ramah dan cepat! tetap dipertahankan ya.",2
Bank Mandiri KCP Jakarta Tebet Timur,1,harus banyak di perbaiki sop dan networking antar cabang,0
Bank Mandiri KCP Jakarta Tebet Timur,1,pelayanan lama,0
Bank Mandiri KCP Jakarta Tebet Timur,5,proses pembukaan rekening cepat dibantu oleh cs . terima kasih,2
Bank Mandiri KCP Jakarta Tebet Timur,5,"pelayanan sangat baik, dilayani dengan cepat. sukses selalu",2
Bank Mandiri KCP Jakarta Tebet Timur,5,pelayanannya cepat cs ramah sangat helpful.. teller juga cepat transaksinya. semoga tetap dipertahankan pelayanannya. terima kasih..,2
Bank Mandiri KCP Jakarta Tebet Timur,5,pelayanan memuaskan dan cepat.. terima kasih,2
Bank Mandiri KCP Jakarta Tebet Timur,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Tebet Timur,5,"enggak salah menjadi cabang pengelola rekening kantor, sering banget dibantu pelayanan cs,teller, sampai kacab yang superb, sabar, dan selalu siap untuk ditanya mendetail perihal kebutuhan kantor.",2
Bank Mandiri KCP Jakarta Tebet Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Timur,5,pelayanannya bagus dan ramah,2
Bank Mandiri KCP Jakarta Tebet Timur,5,pelayanan cepat dan pegawainya ramah.. mantap,2
Bank Mandiri KCP Jakarta Tebet Timur,5,"terbaik pelayanannya, cs nya ramah, mantap sakali",2
Bank Mandiri KCP Jakarta Tebet Timur,5,pelayananny cs nya ramah baik next ke sini lagi karena dekat sama rmh.,2
Bank Mandiri KCP Jakarta Tebet Timur,5,pelayanaan cs ya baik ramah.like baik,2
Bank Mandiri KCP Jakarta Tebet Timur,5,pelayanan baik cepat ramah,2
Bank Mandiri KCP Jakarta Tebet Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Timur,5,"pelayanan baik , cs, teller ,security dan ob rapih.",2
Bank Mandiri KCP Jakarta Tebet Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Timur,2,"kurang senyum pelayanannya, tidak di tanya keluhannya ke banknya apa, malah baca dari kertas yang sudah diisi doang, enggak ditanya langsung lagi.",0
Bank Mandiri KCP Jakarta Tebet Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tebet Timur,1,"pelayanan cs mandiri cabang ini lelet dan menyusahkan. harus berkali2 datang kesini. enggak lagi saya kesini. enggak mandiri 140, emailnya mandiri ecare juga bermasalah semua.",0
Bank Mandiri KCP Jakarta Tebet Timur,5,"pelayanan nya baik, karyawan nya juga ramah, ruangan nya juga bersih dan nyaman",2
