Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"puass pelayanannya bagus scuritynya super ramah, terima kasih pak yang tadi ngbantu aktivasi kartu nya,,",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,1,jelek pelayananya,0
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,luar biasa pak kurniadi ramah bagus mandiri jos,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,yang terbaik pelayanan cepat,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,pelayanan baik & cepatt,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,ok,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,pelayanan cukup baik dan petugas ramah..,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,cekatan,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,pelayanan,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,petagasny ramah,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,bagus,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"telkonya baik dan cantik, pelayanan oke",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"pelayanan sangat memuaskan, terima kasih",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,top banget,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,security ramah2 dan pelayanan cepat puas mengurus semua dari buka tabungan dan lainnya.. cabang telkom landmark tower the best,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"tempatnya keren, securitynya ramah",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"kantornya bagus, satpamnya sip",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,keamanan-nya sip,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,servis terbaik yang pernah kulayani.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,satpam idebes,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,pelayanannya sangat baik sekali,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"untuk security di cabang ini sangat super helpfull, dan sangat membantu, apalagi mas bagus baik banget hehehehe pertahaninn ya",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,satpamnya baik,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,mantab,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,4,securitynya baik suka mengasih minum dan membantu,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,baik,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"pelayanannya bagus , all staff humble",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,cabang nya bersih,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,pelayanannya oke,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,teller nya ramah syekallii cakep juga . sukses terus ya mandiri graha merah putih,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,menyenangkan nyaman dan frendly,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,suasananya nyaman. pelayanannya bapak security dan kakak cs nya ramah sekali..,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,terlalu banyak,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,terbaik,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,teller dan cs nya sangat ramah,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,setor uang man disini,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"untuk semua karyawan nya pelayanan nya ramah,cepat ,berpakaian sangat rapi",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,keren,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,nyaman bersih fast respown,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"bersih , nyaman , pelayanannya bagus cepat , satset . semoga terus konsisten",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,bank mandiri tlt mantap,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"kantor cabangnya bagus, karyawannya ramah2 dan salah satu cabang bank mandiri yang selalu memberikan pelayanan terbaik untuk nasabahnya..",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"tempatnya adem asik, keren",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"tempat yang bagus, layanan yang baik",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,staff ramah tempat nya juga bagus dan bersih pelayan nya oke banget .. apalagi untuk cs yang namanya susi sulistia servic nya oke banget bank mandiri tlt oke banget deh pokok nya,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,1,"cs kurang cerdas, payah",0
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"teller nya ramah, cepat, baik, satset",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,"teller nya baik, cepat.",2
Bank Mandiri KCP Jakarta Telkom Landmark Tower,5,teller nya ramah,2
