Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Tendean,5,sangat membantu dalam urusan perbankan terimakayah,2
Bank Mandiri KCP Jakarta Tendean,5,"pelayannya baik dan cepat, teller dan cs nya baik.",2
Bank Mandiri KCP Jakarta Tendean,5,tempatnya strategis dan pelayanan-nya ok banget disini,2
Bank Mandiri KCP Jakarta Tendean,5,pegawainya semuanya ramahh sekali yang terbaik deh cabang ini.,2
Bank Mandiri KCP Jakarta Tendean,5,pelayanannya ramah sekali dan tempatnya juga nyaman,2
Bank Mandiri KCP Jakarta Tendean,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tendean,5,"pelayanannya baik dan sangat membantu, pegawainya juga ramah ramahh",2
Bank Mandiri KCP Jakarta Tendean,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tendean,5,sangat stategis dan juga pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Tendean,5,"tadi di bantu sama teh banny buat ganti kartu, pelayanan ramah dan cabang bersih",2
Bank Mandiri KCP Jakarta Tendean,5,tempat bersih dan rapi. pelayanannya memuaskan.,2
Bank Mandiri KCP Jakarta Tendean,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tendean,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tendean,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tendean,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tendean,5,pelayanannya sangat memuaskan dan ramah top,2
Bank Mandiri KCP Jakarta Tendean,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Tendean,5,strategis. cepat dilayani. ramah service nya. oke deh,2
Bank Mandiri KCP Jakarta Tendean,5,tadi dibantu dengan mbak rizke yang cantik.makasig pelayanannya,2
Bank Mandiri KCP Jakarta Tendean,5,ok,2
Bank Mandiri KCP Jakarta Tendean,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tendean,5,bagus,2
Bank Mandiri KCP Jakarta Tendean,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tendean,5,pelayanannya bagus..,2
Bank Mandiri KCP Jakarta Tendean,5,good,2
Bank Mandiri KCP Jakarta Tendean,5,keren banget pelayanannya ramah semua,2
Bank Mandiri KCP Jakarta Tendean,5,"pelayanannya bagus, terimakasih",2
Bank Mandiri KCP Jakarta Tendean,5,"cabang nya bersih, pegawainya ramah semua. oke sip top",2
Bank Mandiri KCP Jakarta Tendean,5,terimakasih sudah selalu dibantu..,2
Bank Mandiri KCP Jakarta Tendean,5,"cabang bersih, petugas nya ramah"" ..",2
Bank Mandiri KCP Jakarta Tendean,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tendean,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Tendean,5,"enggak tahu lewat jalan mana, jam berapa tau deh, orang enggak punya uang sndiri. buat yang lain saja dirumah saja pada isengin mulu",2
