Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Thamrin City,5,ok,2
Bank Mandiri KCP Jakarta Thamrin City,5,pelayanannya bagus dan ramah,2
Bank Mandiri KCP Jakarta Thamrin City,5,"kakak cs nya ramah, rapi cantik dan wangi. pelayanan cepat, mudah. sukses selalu buat mandiri thamrin city god bless .",2
Bank Mandiri KCP Jakarta Thamrin City,5,pelayanan ramah cs nya,2
Bank Mandiri KCP Jakarta Thamrin City,5,"buka rekening sangat mudah,cs ramah dan cepat",2
Bank Mandiri KCP Jakarta Thamrin City,5,nyaman transaksi disini,2
Bank Mandiri KCP Jakarta Thamrin City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Thamrin City,5,"pelayanan nya oke banget ,ramah dan hasilnya cepat banget jadinya,terimakasih bank mandiri tamcit",2
Bank Mandiri KCP Jakarta Thamrin City,5,pelayanan ramah cantik oke lach pokoknya,2
Bank Mandiri KCP Jakarta Thamrin City,5,kakak teller nya ramah dan baik,2
Bank Mandiri KCP Jakarta Thamrin City,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Thamrin City,5,"pelayannan oke,cepat dan memuaskan",2
Bank Mandiri KCP Jakarta Thamrin City,5,ganti kartu atm cepat dan ramah mbak cs nya,2
Bank Mandiri KCP Jakarta Thamrin City,5,pelayanan yang baik dan ramah,2
Bank Mandiri KCP Jakarta Thamrin City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Thamrin City,5,sangat baik cs nya,2
Bank Mandiri KCP Jakarta Thamrin City,5,ok pelayanannya mbak cs baik dan ramah,2
Bank Mandiri KCP Jakarta Thamrin City,5,pelayanannya baik dan ramah mbak cs nya,2
Bank Mandiri KCP Jakarta Thamrin City,5,mantap,2
Bank Mandiri KCP Jakarta Thamrin City,5,ok pelayanannya,2
Bank Mandiri KCP Jakarta Thamrin City,5,"pelayanan ibu devi baik banget sudah mau close tapi tetap dilayani puass bangett, sukses terus ya",2
Bank Mandiri KCP Jakarta Thamrin City,5,ok,2
Bank Mandiri KCP Jakarta Thamrin City,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Thamrin City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Thamrin City,5,mantap pelayanannya,2
Bank Mandiri KCP Jakarta Thamrin City,5,mbak devi baik pelayananya,2
Bank Mandiri KCP Jakarta Thamrin City,5,pelayan bagus,2
Bank Mandiri KCP Jakarta Thamrin City,5,ok,2
Bank Mandiri KCP Jakarta Thamrin City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Thamrin City,5,pelayanan bagus & ramah,2
Bank Mandiri KCP Jakarta Thamrin City,5,best,2
Bank Mandiri KCP Jakarta Thamrin City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Thamrin City,5,"pelayanan oke,staffnya ramah ramah",2
Bank Mandiri KCP Jakarta Thamrin City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Thamrin City,5,oke,2
Bank Mandiri KCP Jakarta Thamrin City,1,"atm ibu saya ketelen di lantai 5, butuh bantuan dari mandiri tapi malahan tutup, kalau sabtu minggu tutup enggak usah ditulis open di googlenya dong.",0
Bank Mandiri KCP Jakarta Thamrin City,5,itu bisa tarik tunai 10 ribu dan 20 ribu enggak ?,2
Bank Mandiri KCP Jakarta Thamrin City,5,pelayanan cepat dan tepat,2
Bank Mandiri KCP Jakarta Thamrin City,5,pkonya bagus deh,2
