Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Thamrin Nine,5,semua pegawai dan security sangat ramah pelayanannya,2
Bank Mandiri KCP Jakarta Thamrin Nine,5,wah itu keren,2
Bank Mandiri KCP Jakarta Thamrin Nine,5,"csnya cantik, yang mbak mbak batak",2
Bank Mandiri KCP Jakarta Thamrin Nine,5,pelayanan yang ramah menjadi pioritas kami sebagai nasabah.,2
Bank Mandiri KCP Jakarta Thamrin Nine,5,sat set enggak pakai ribet.,2
Bank Mandiri KCP Jakarta Thamrin Nine,1,tanggal 30 aug 2024 datang ke bank mandiri jakarta thamrin nine disambut sopan sama satpam. .,0
Bank Mandiri KCP Jakarta Thamrin Nine,5,"saya menerapkan visa italia di lantai 9 chubb square, dan tampaknya hilang surat referensi bank (mode panik). untungnya menemukan sebuah bank mandiri tepat di loby dan layanan pelanggan menyediakan layanan yang sangat memuaskan menyediakan bank .",2
Bank Mandiri KCP Jakarta Thamrin Nine,5,"pelayanan security, cs dan teller sangat excelent",2
Bank Mandiri KCP Jakarta Thamrin Nine,5,helpfull,2
Bank Mandiri KCP Jakarta Thamrin Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Thamrin Nine,5,anjay security nya gila cs nya mantap,2
Bank Mandiri KCP Jakarta Thamrin Nine,5,"pelayanan yang baik, respon yang sangat cepat",2
