Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Tomang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tomang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tomang,5,terbaik,2
Bank Mandiri KCP Jakarta Tomang,5,"pelayanannya sangat membantu sekali, serta baik dan cepat",2
Bank Mandiri KCP Jakarta Tomang,5,pelayanan sangat ramah trimakasih sudah di bantu transaksi,2
Bank Mandiri KCP Jakarta Tomang,5,"pelayanannya cepat, baik dan ramah",2
Bank Mandiri KCP Jakarta Tomang,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Tomang,5,"pelayanannya sangat baik, petugasnya ramah, dan cabangnya bersih",2
Bank Mandiri KCP Jakarta Tomang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tomang,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Tomang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Tomang,5,mantap pelayanan,2
Bank Mandiri KCP Jakarta Tomang,1,"pengalaman pribadi, cuma ambil uang di mesin atm dipintain uang parkir sama jukir setempat. saya tarik tunai 50.0 buat ganti oli motor eh malah dipintain 2.0 al-hasil kagak jadi ganti oli. padahal ada security di depan. kalau ambil duit",0
Bank Mandiri KCP Jakarta Tomang,5,mbak mila pelayanan bagus jadi mau.,2
Bank Mandiri KCP Jakarta Tomang,5,sangat nyaman pelayanannya baik,2
Bank Mandiri KCP Jakarta Tomang,5,bu afifah baik sekali,2
Bank Mandiri KCP Jakarta Tomang,5,keren mbak afifah mana cantik,2
Bank Mandiri KCP Jakarta Tomang,5,"pelayanan baik, cs & teller semuanya friendly.",2
Bank Mandiri KCP Jakarta Tomang,5,nice,2
Bank Mandiri KCP Jakarta Tomang,2,"kesini ganti kartu karena aplikasi livin nya terblockir, ternyata malah dikasih kartu yang sudah terblockir.",0
Bank Mandiri KCP Jakarta Tomang,5,terima kasih mbak afifah bantu buat pelaporannya,2
Bank Mandiri KCP Jakarta Tomang,5,pelayanan sangat baik dan cepat,2
