Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Trinity Tower,1,satpam tidak ramah dan tidak sopan,0
Bank Mandiri KCP Jakarta Trinity Tower,1,scurity tidak punya etika dan adab,0
Bank Mandiri KCP Jakarta Trinity Tower,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Trinity Tower,5,pelayan baik sangat rama.,2
Bank Mandiri KCP Jakarta Trinity Tower,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Trinity Tower,5,pelayanannya luar biasa .. sat set sekali,2
Bank Mandiri KCP Jakarta Trinity Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Trinity Tower,5,nyaman dan ramah,2
Bank Mandiri KCP Jakarta Trinity Tower,5,good,2
Bank Mandiri KCP Jakarta Trinity Tower,5,pelayanan cepat dan tanggap kepada nasabah,2
Bank Mandiri KCP Jakarta Trinity Tower,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Trinity Tower,5,pelayanannya cepat dan ramah petugasnya,2
Bank Mandiri KCP Jakarta Trinity Tower,5,layanan yang sangat baik,2
Bank Mandiri KCP Jakarta Trinity Tower,5,"petugasnya helpfull, ramah dan cepat.. sukses bank mandiri cabang trinity towe",2
